"","X","id","name","copies","deck_part","deck_id","archetype"
"1",0,17080584,"Abyssrhine, the Atlantean Spirit",3,0,"atlantean-mermail-544943","Mermail"
"2",1,21565445,"Neptabyss, the Atlantean Prince",3,0,"atlantean-mermail-544943","Mermail"
"3",2,22446869,"Mermail Abyssteus",3,0,"atlantean-mermail-544943","Mermail"
"4",3,58471134,"Mermail Abysspike",3,0,"atlantean-mermail-544943","Mermail"
"5",4,74311226,"Atlantean Dragoons",3,0,"atlantean-mermail-544943","Mermail"
"6",5,53085623,"Mermail Shadow Squad",3,0,"atlantean-mermail-544943","Mermail"
"7",6,37104630,"Atlantean Heavy Infantry",1,0,"atlantean-mermail-544943","Mermail"
"8",7,71978434,"Deep Sea Minstrel",2,0,"atlantean-mermail-544943","Mermail"
"9",8,21954587,"Mermail Abyssmegalo",1,0,"atlantean-mermail-544943","Mermail"
"10",9,13959634,"Moulinglacia the Elemental Lord",1,0,"atlantean-mermail-544943","Mermail"
"11",10,88307361,"Superancient Deepsea King Coelacanth",1,0,"atlantean-mermail-544943","Mermail"
"12",11,84192580,"Mulcharmy Purulia",3,0,"atlantean-mermail-544943","Mermail"
"13",12,42141493,"Mulcharmy Fuwalos",1,0,"atlantean-mermail-544943","Mermail"
"14",13,14558128,"Ash Blossom & Joyous Spring",3,0,"atlantean-mermail-544943","Mermail"
"15",14,94145021,"Droll & Lock Bird",2,0,"atlantean-mermail-544943","Mermail"
"16",15,81878201,"Abyss-sting Triaina",1,0,"atlantean-mermail-544943","Mermail"
"17",16,84211599,"Pot of Prosperity",1,0,"atlantean-mermail-544943","Mermail"
"18",17,2295440,"One for One",1,0,"atlantean-mermail-544943","Mermail"
"19",18,10045474,"Infinite Impermanence",3,0,"atlantean-mermail-544943","Mermail"
"20",19,40366667,"Dominus Impulse",3,0,"atlantean-mermail-544943","Mermail"
"21",0,60517697,"Poseidra Abyss, the Atlantean Dragon Lord",1,1,"atlantean-mermail-544943","Mermail"
"22",1,74371660,"Mermail Abyssgaios",1,1,"atlantean-mermail-544943","Mermail"
"23",2,67557908,"Number 4: Stealth Kragen",1,1,"atlantean-mermail-544943","Mermail"
"24",3,33113958,"LeVirtue Dragon",1,1,"atlantean-mermail-544943","Mermail"
"25",4,440556,"Bahamut Shark",2,1,"atlantean-mermail-544943","Mermail"
"26",5,90809975,"Toadally Awesome",2,1,"atlantean-mermail-544943","Mermail"
"27",6,21044178,"Abyss Dweller",1,1,"atlantean-mermail-544943","Mermail"
"28",7,96633955,"Swordsoul Supreme Sovereign - Chengying",1,1,"atlantean-mermail-544943","Mermail"
"29",8,79130389,"Marincess Coral Anemone",1,1,"atlantean-mermail-544943","Mermail"
"30",9,23545031,"Mermail Abyssalacia",1,1,"atlantean-mermail-544943","Mermail"
"31",10,82184400,"Abyss Keeper",1,1,"atlantean-mermail-544943","Mermail"
"32",11,45112597,"Worldsea Dragon Zealantis",1,1,"atlantean-mermail-544943","Mermail"
"33",12,69385019,"Mermail King - Neptabyss",1,1,"atlantean-mermail-544943","Mermail"
"34",0,42141493,"Mulcharmy Fuwalos",2,2,"atlantean-mermail-544943","Mermail"
"35",1,97268402,"Effect Veiler",2,2,"atlantean-mermail-544943","Mermail"
"36",2,91800273,"Dimension Shifter",1,2,"atlantean-mermail-544943","Mermail"
"37",3,38814750,"PSY-Framegear Gamma",1,2,"atlantean-mermail-544943","Mermail"
"38",4,74203495,"PSY-Framegear Delta",2,2,"atlantean-mermail-544943","Mermail"
"39",5,49036338,"PSY-Frame Driver",1,2,"atlantean-mermail-544943","Mermail"
"40",6,24224830,"Called by the Grave",1,2,"atlantean-mermail-544943","Mermail"
"41",7,65681983,"Crossout Designator",3,2,"atlantean-mermail-544943","Mermail"
"42",8,25311006,"Triple Tactics Talent",1,2,"atlantean-mermail-544943","Mermail"
"43",9,80534031,"Virtue Stream",1,2,"atlantean-mermail-544943","Mermail"
"44",0,17080584,"Abyssrhine, the Atlantean Spirit",3,0,"atlantean-mermail-544946","Mermail"
"45",1,21565445,"Neptabyss, the Atlantean Prince",3,0,"atlantean-mermail-544946","Mermail"
"46",2,22446869,"Mermail Abyssteus",3,0,"atlantean-mermail-544946","Mermail"
"47",3,58471134,"Mermail Abysspike",3,0,"atlantean-mermail-544946","Mermail"
"48",4,69293721,"Mermail Abyssgunde",1,0,"atlantean-mermail-544946","Mermail"
"49",5,74311226,"Atlantean Dragoons",3,0,"atlantean-mermail-544946","Mermail"
"50",6,53085623,"Mermail Shadow Squad",3,0,"atlantean-mermail-544946","Mermail"
"51",7,37104630,"Atlantean Heavy Infantry",1,0,"atlantean-mermail-544946","Mermail"
"52",8,71978434,"Deep Sea Minstrel",1,0,"atlantean-mermail-544946","Mermail"
"53",9,21954587,"Mermail Abyssmegalo",1,0,"atlantean-mermail-544946","Mermail"
"54",10,13959634,"Moulinglacia the Elemental Lord",1,0,"atlantean-mermail-544946","Mermail"
"55",11,88307361,"Superancient Deepsea King Coelacanth",1,0,"atlantean-mermail-544946","Mermail"
"56",12,84192580,"Mulcharmy Purulia",3,0,"atlantean-mermail-544946","Mermail"
"57",13,42141493,"Mulcharmy Fuwalos",3,0,"atlantean-mermail-544946","Mermail"
"58",14,14558128,"Ash Blossom & Joyous Spring",3,0,"atlantean-mermail-544946","Mermail"
"59",15,81878201,"Abyss-sting Triaina",1,0,"atlantean-mermail-544946","Mermail"
"60",16,84211599,"Pot of Prosperity",1,0,"atlantean-mermail-544946","Mermail"
"61",17,2295440,"One for One",1,0,"atlantean-mermail-544946","Mermail"
"62",18,89558743,"Small World",2,0,"atlantean-mermail-544946","Mermail"
"63",19,10045474,"Infinite Impermanence",3,0,"atlantean-mermail-544946","Mermail"
"64",20,40366667,"Dominus Impulse",3,0,"atlantean-mermail-544946","Mermail"
"65",0,60517697,"Poseidra Abyss, the Atlantean Dragon Lord",1,1,"atlantean-mermail-544946","Mermail"
"66",1,74371660,"Mermail Abyssgaios",1,1,"atlantean-mermail-544946","Mermail"
"67",2,67557908,"Number 4: Stealth Kragen",1,1,"atlantean-mermail-544946","Mermail"
"68",3,33113958,"LeVirtue Dragon",1,1,"atlantean-mermail-544946","Mermail"
"69",4,440556,"Bahamut Shark",2,1,"atlantean-mermail-544946","Mermail"
"70",5,90809975,"Toadally Awesome",2,1,"atlantean-mermail-544946","Mermail"
"71",6,21044178,"Abyss Dweller",1,1,"atlantean-mermail-544946","Mermail"
