"","archetype","placement","player","deck_id","deck_cost","slug","archetype_encoding","archetype_power_level"
"1","Blue-Eyes",27,"Ricardo Francisco Vazquez Galindo","primite-blue-eyes-594739",501.22,"ycs-mexico-city-2972",7,0
"2","Blue-Eyes",11,"Harrison Kneeshaw","primite-blue-eyes-576377",1005.28,"ycs-sydney-2783",7,0
"3","Blue-Eyes",4,"Kunlun Lei","primite-blue-eyes-576154",765.08,"ycs-sydney-2783",7,0
"4","Blue-Eyes",9,"Daniel Pollard","primite-buster-blader-blue-eyes-576414",561.25,"ycs-sydney-2783",7,0
"5","Blue-Eyes",15,"Luis Alejandro Arias Jimenez","primite-blue-eyes-594711",466.58,"ycs-mexico-city-2972",7,0
"6","Blue-Eyes",9,"Lexus Wingate","fiendsmith-primite-blue-eyes-588497",833.09,"ycs-houston-2930",7,0
"7","Blue-Eyes",11,"Andony Sanchez Aparicio","primite-blue-eyes-586058",645.22,"ycs-buenos-aires-2891",7,0
"8","Blue-Eyes",27,"Colby Blomstrom","primite-blue-eyes-588491",755.21,"ycs-houston-2930",7,0
"9","Blue-Eyes",20,"Carlos Ismael Estala Coronado","primite-blue-eyes-594728",680.89,"ycs-mexico-city-2972",7,0
"10","Blue-Eyes",25,"Rodrigo Ivan Herrera Bellizia","primite-blue-eyes-594673",477.32,"ycs-mexico-city-2972",7,0
"11","Blue-Eyes",23,"Ezequiel Adrian Ledesma","primite-blue-eyes-586351",329.96,"ycs-buenos-aires-2891",7,0
"12","Bystial",52,"Sebastian Todd","",NA,"ycs-orlando-2684",3,0
"13","Bystial",10,"Edwin Strom IV","maliss-fiendsmith-bystial-588843",903.47,"ycs-houston-2930",3,0
"14","Bystial",6,"Enzo Fiallos","fiendsmith-bystial-594230",1046.01,"ycs-mexico-city-2972",3,0
"15","Bystial",24,"Cristian Urena","fiendsmith-bystial-569196",987.29,"ycs-birmingham-2704",3,0
"16","Bystial",55,"Mario De Micco","fiendsmith-bystial-564843",953.08,"ycs-orlando-2684",3,0
"17","Bystial",10,"Angel Arturo Borja Aquino","maliss-fiendsmith-bystial-594584",980.06,"ycs-mexico-city-2972",3,0
"18","Bystial",39,"Richard Schaber","fiendsmith-bystial-568386",876.84,"ycs-birmingham-2704",3,0
"19","Bystial",22,"Franco Persano","",NA,"latin-america-remote-duel-ycs-2703",3,0
"20","Bystial",17,"Javier Antonio Soto","maliss-fiendsmith-bystial-592647",941.89,"ycs-houston-2930",3,0
"21","Bystial",20,"Ali Obeido","fiendsmith-bystial-576496",1053.24,"ycs-sydney-2783",3,0
"22","Bystial",40,"Cristian Urena","fiendsmith-bystial-569195",958.79,"ycs-orlando-2684",3,0
"23","Centur-Ion",27,"Rolando Adriel Roman","superheavy-samurai-centur-ion-544310",655.18,"na-remote-duel-ycs-2385",27,0
