,placement,player,archetype,deck_id
0,1,Pascal Manigat,Memento,goblin-biker-memento-588729
1,2,Manuel Kälin,Ryzeal,ryzeal-588731
2,3,Aditya Dharap,Mermail,atlantean-mermail-588733
3,4,Kevin Züger,Ryzeal,ryzeal-588731
4,5,Anthony Vang Jr.,Ryzeal,fiendsmith-ryzeal-588850
5,6,Nathaniel Vasquez,Ryzeal,fiendsmith-ryzeal-588848
6,7,Christian Agustin,Maliss,maliss-589340
7,8,Kaihuang Zhang,Labrynth,labrynth-590135
8,9,Lexus Wingate,Blue-Eyes,fiendsmith-primite-blue-eyes-588497
9,10,Edwin Strom IV,Bystial,maliss-fiendsmith-bystial-588843
10,11,John Crowley,Ryzeal,
11,12,Israel Figueroa,Maliss,bystial-maliss-588776
12,13,George Lucas Sacco,Maliss,kashtira-maliss-589131
13,14,Francisco Osorio Bobadilla,Maliss,maliss-588842
14,15,Jarred Randolph,Maliss,maliss-588844
15,16,Bryce Sharp,Ryzeal,ryzeal-588516
16,17,Javier Antonio Soto,Bystial,maliss-fiendsmith-bystial-592647
17,18,Tyler Felix,White Forest,fiendsmith-azamina-white-forest-588738
18,19,Jose Marin,Yubel,fiendsmith-yubel-589158
19,20,Simon He,Odion,fiendsmith-odion-588737
20,21,Luis Sanabria,Ryzeal,fiendsmith-ryzeal-588777
21,22,Logan Shepard,Ryzeal,fiendsmith-ryzeal-589408
22,23,Tayveon Crowley,Ryzeal,fiendsmith-ryzeal-590580
23,24,Hector Josue Orellana,Maliss,
24,25,Juan Fernando Casillas Lozano,Maliss,
25,26,Jesse Flores,Ryzeal,
26,27,Colby Blomstrom,Blue-Eyes,primite-blue-eyes-588491
27,28,Jesus Barrios,Rescue-ACE,fiendsmith-rescue-ace-590127
28,29,Julien Kehon,Maliss,maliss-590122
29,30,Darian Hahn,Ryzeal,ryzeal-588514
30,31,Jesse Simnegar,Maliss,maliss-590122
31,32,Bryan Angiuoli,Ryzeal,ryzeal-588487
