,id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
0,3018,Ecuador National Championship 2025,Ecuador,2025-05-03,,TCG,ecuador-national-championship-2025-3018,500,1
1,3017,Chile National Championship 2025,Chile,2025-05-03,,TCG,chile-national-championship-2025-3017,550,1
2,3016,Colombia National Championship 2025,Colombia,2025-05-03,,TCG,colombia-national-championship-2025-3016,500,1
3,3015,Brazil National Championship 2025,Brazil,2025-05-03,,TCG,brazil-national-championship-2025-3015,1000,1
4,3012,Austria National Championship 2025,Austria,2025-05-03,,TCG,austria-national-championship-2025-3012,400,1
5,3006,YCS Providence,United States,2025-05-03,,TCG,ycs-providence-3006,1500,1
6,2972,YCS Mexico City,Mexico,2025-04-19,Rene Epigmenio Ybarra Trapote,TCG,ycs-mexico-city-2972,1432,0
7,2930,YCS Houston,United States,2025-04-05,Pascal Manigat,TCG,ycs-houston-2930,1496,0
8,2891,YCS Buenos Aires,Argentina,2025-03-29,Luca Daniel Garcia Gonzalez,TCG,ycs-buenos-aires-2891,792,0
9,2827,Team YCS Las Vegas,United States,2025-03-15,Legionnaire,TCG,team-ycs-las-vegas-2827,1416,0
10,2786,Team YCS San Salvador,El Salvador,2025-03-01,Look Pak at Him,TCG,team-ycs-san-salvador-2786,324,0
11,2783,YCS Sydney,Australia,2025-03-01,Frederick Cammell,TCG,ycs-sydney-2783,896,0
12,2704,YCS Birmingham,United Kingdom,2025-02-08,Dinh-Kha Bui,TCG,ycs-birmingham-2704,2496,0
13,2703,Latin America Remote Duel YCS,Brazil,2025-02-08,Carlos Rafael Mejia Guardian,TCG,latin-america-remote-duel-ycs-2703,294,0
14,2684,YCS Orlando,United States,2025-02-01,Tayveon Crowley,TCG,ycs-orlando-2684,2274,0
15,2473,YCS Anaheim,United States,2024-12-07,Steven Trifunoski,TCG,ycs-anaheim-2473,1429,0
16,2407,YCS Bologna,Italy,2024-11-23,Matthieu Bricard,TCG,ycs-bologna-2407,2504,0
17,2385,NA Remote Duel YCS,United States,2024-11-09,Mario De Micco,TCG,na-remote-duel-ycs-2385,429,0
18,2362,YCS Guayaquil,Ecuador,2024-11-02,Landon Oliver,TCG,ycs-guayaquil-2362,330,0
19,2274,YCS Niagara Falls,Canada,2024-10-12,Landon Oliver,TCG,ycs-niagara-falls-2274,875,0
20,2252,YCS Cancún,Mexico,2024-10-05,Ittipat Arunnaveesiri,TCG,ycs-cancún-2252,372,0
21,2228,Team YCS Santiago,Chile,2024-09-28,TCG Life Anexo,TCG,team-ycs-santiago-2228,372,0
22,2227,YCS Lille,France,2024-09-28,Noël Hamel,TCG,ycs-lille-2227,1897,0
