,placement,player,archetype,deck_id,deck_cost
0,1,Fabricio La Cruz,Snake-Eye,diabellstar-snake-eye-498233,$215.20
1,2,Diego Nahuel Gomez,Tenpai Dragon,tenpai-dragon-498219,$122.93
2,3,Matias Daniel Acevedo,Snake-Eye,diabellstar-snake-eye-498240,$202.80
3,4,Alexis Stefano Fabricio Olmedo,Labrynth,labrynth-497805,$193.51
4,5,Joaquin Alfonso Lichtig,Snake-Eye,diabellstar-kashtira-snake-eye-498622,$209.43
5,6,Nicolas Agustin Zaccari,Tenpai Dragon,tenpai-dragon-498620,$237.92
6,7,Joaquin Pojaghi,Unchained,unchained-498627,$204.09
7,8,Juan Pablo Ynfantes,Voiceless Voice,voiceless-voice-498645,$264.45
8,9,Fran Viladrich,Plant Link,ragnaraika-plant-link-498236,$173.53
9,10,Ramiro Alberto Alcala,Voiceless Voice,branded-voiceless-voice-498712,$171.62
10,11,Nahuel Ovejero,Runick,stun-runick-498714,$70.83
11,12,Felipe Bisserier Zapata,Snake-Eye,diabellstar-snake-eye-498713,$261.58
12,13,Sergio David Saracho,Labrynth,labrynth-498238,$146.60
13,14,David Cardozo,Vaalmonica,vaalmonica-498444,$227.26
14,15,Franco Bruno,Voiceless Voice,voiceless-voice-498716,$209.55
15,16,Tomas Dughera,Melodious,melodious-497717,$123.91
16,17,Sebastian Alexander,Snake-Eye,diabellstar-kashtira-snake-eye-498731,$173.96
17,18,Brandon Tiago Pelaez,Snake-Eye,diabellstar-kashtira-snake-eye-498736,$178.47
18,19,Brian Caceres,Snake-Eye,diabellstar-kashtira-snake-eye-498730,$207.73
19,20,Taiel Fernandez,Snake-Eye,diabellstar-kashtira-snake-eye-498733,$224.80
20,21,Julian Perini,Voiceless Voice,branded-voiceless-voice-498725,$176.18
21,22,Rodolfo Gonzales,Orcust,horus-orcust-498803,$267.12
22,23,Juan Manuel Abregu,Plant Link,ragnaraika-plant-link-498717,$173.53
23,24,Franz Nelson Rojas,Spright,melffy-spright-498217,$151.04
24,25,Bruno Pasutti,Despia,branded-despia-498994,$133.81
25,26,Juan Burgos,Tenpai Dragon,tenpai-dragon-498739,$175.96
26,27,Lautaro Julian Torres,Raidraptor,raidraptor-498211,$73.54
27,28,Nahuel Tobias Ponce,Labrynth,labrynth-498720,$210.30
28,29,Francisco Francia,Melodious,melodious-498728,$101.81
29,30,Axel Kock Sonenblum,Floowandereeze,floowandereeze-498995,$68.61
30,31,Agustin Da Silva,Tenpai Dragon,tenpai-dragon-498214,$192.14
31,32,Alan Lurati,Drytron,drytron-498993,$134.41
