,placement,player,archetype,deck_id,deck_cost
0,1,An Qi Xu,Kashtira,kashtira-329416,$210.66
1,2,Adrian Dursun,Purrely,purrely-328981,$106.20
2,3,Uchenna Brandel,Floowandereeze,floowandereeze-329117,$61.82
3,4,<unknown duelist>,,,
4,5,Zoey Petratzek,Purrely,,
5,6,<3 unknown Top 8 duelists>,,,
6,7,Viktor Ulrich,Kashtira,kashtira-328983,$198.54
7,8,Julian Strassl,Superheavy Samurai,superheavy-samurai-329116,$137.20
8,9,Thien Thanh Nguyen,Despia,,
9,10,Lukas Wohlmuth,Mathmech,firewall-mathmech-329114,$63.71
10,11,Mario Kobler,Traptrix,traptrix-328982,$81.24
11,12,Manuel Mindl,Kashtira,kashtira-329115,$224.68
12,13,Wolfram Schießl,,,
13,14,<unknown duelist>,,,
