,placement,player,archetype,deck_id,deck_cost
0,1,Christophe Faite,Purrely,purrely-329047,$112.57
1,2,Aaron Niggemann,Kashtira,kashtira-329046,$247.93
2,3,Axel Papillon,Kashtira,kashtira-329049,$208.93
3,4,Alexy Flammang,Kashtira,kashtira-329048,$212.21
4,5,Thibault Defourny,Purrely,purrely-329041,$114.81
5,6,Martin Derom,Kashtira,kashtira-329043,$205.62
6,7,Quentin Sente,Mathmech,firewall-mathmech-329045,$88.53
7,8,Michael Rimbaud,Superheavy Samurai,superheavy-samurai-329044,$70.23
8,9,Corentin Latellier,Spright,evil-twin-runick-spright-329032,$107.16
9,10,Tim Wintersig,Mathmech,firewall-mathmech-329040,$108.91
10,11,Kim Van Campenhoudt,Kashtira,kashtira-329033,$214.88
11,12,Max van Nijverseel,Kashtira,kashtira-329037,$226.98
12,13,Emil Valente,Gold Pride,p-u-n-k-gold-pride-328984,$95.05
13,14,Corentin Cimino,Mathmech,mathmech-329035,$76.94
14,15,Hakim Ben Tanfous,Superheavy Samurai,superheavy-samurai-329039,$110.75
15,16,Thierry Courrieu,Kashtira,kashtira-329036,$211.90
