,placement,player,archetype,deck_id,deck_cost
0,1,Leonardo Martins,Kashtira,raidraptor-kashtira-328290,$199.62
1,2,Cezar Coscia,Superheavy Samurai,,
2,3,Carlos Vieira,Purrely,dark-world-purrely-328428,$101.53
3,4,Felipe Urias,Labrynth,labrynth-328270,$160.28
4,5,Pedro Gontow,Kashtira,kashtira-328398,$236.01
5,6,Eric Lima,Kashtira,kashtira-328485,$235.69
6,7,Victor Glauber,Kashtira,kashtira-328762,$239.12
7,8,Claudio Piccoli,Tearlaments,danger-ishizu-tearlaments-328164,$88.63
8,9,Luahn Pereira,Mathmech,mathmech-328397,$60.97
9,10,Marlon Aguiar,Kashtira,kashtira-328758,$217.46
10,11,Thomas Zobaran,Kashtira,kashtira-328485,$235.69
11,12,Matheus Braz,Kashtira,kashtira-328391,$222.39
12,13,Carlos Varoni,Kashtira,kashtira-328396,$216.30
13,14,Rafael Reich,Kashtira,kashtira-328398,$236.01
14,15,Pedro Dratwa,Labrynth,labrynth-328270,$160.28
15,16,Franklin Roger,Kashtira,kashtira-328760,$198.83
16,17,Gustavo Vilella,Dragon Link,bystial-dragon-link-328767,$203.49
17,18,Lucas Vaz,Mannadium,mannadium-328773,$110.76
18,19,Arthur Miranda,Mathmech,mathmech-328781,$47.03
19,20,Herrison Lucas Lima ,Kashtira,kashtira-328783,$220.39
20,21,Mario Sant'Anna,Kashtira,kashtira-328785,$205.67
21,22,Marcelo Diesel,Kashtira,kashtira-328786,$215.95
22,23,Paulo PRRJ,Kashtira,,
23,24,Victor Rodrigues,Kashtira,,
24,25,Joao Carreira,Kashtira,kashtira-328485,$235.69
25,26,Rhuan Pablo,Superheavy Samurai,superheavy-samurai-328670,$79.14
26,27,Rafael Santana,Tri-Brigade,lyrilusc-tri-brigade-328692,$104.66
27,28,Vitor Koerner,Kashtira,kashtira-328788,$237.93
28,29,Yuri Rego,Kashtira,,
29,30,Michel Veríssimo,Superheavy Samurai,,
30,31,Braulio da Costa,Purrely,,
31,32,Renan Franca,Labrynth,,
