,placement,player,archetype,deck_id,deck_cost
0,1,Nikola Stefanov,Snake-Eye,,
1,2,Flavio Serafini,Chimera,branded-chimera-504467,$212.82
2,3,Pavel Ardizzon,Tenpai Dragon,tenpai-dragon-504448,$186.93
3,4,<unknown duelist>,Tenpai Dragon,,
4,5,Boris Iliev,Despia,branded-despia-503643,$147.82
5,6,Fanizza Vincenzo,Snake-Eye,,
6,7,Simeon Stanev,Despia,,
7,8,Momchil Eftimov,Chimera,,
8,9,Petyo Razkazov,Snake-Eye,,
9,10,Alessandro Guardia,Runick,stun-runick-504446,$73.64
10,11,Vulkanos,Kashtira,heatsoul-kashtira-504443,$229.87
11,12,Alexander Manolov,Voiceless Voice,voiceless-voice-503654,$275.96
12,13,Yordan Aleksandrov,Tenpai Dragon,,
13,14,Arianit Limani,Tenpai Dragon,,
14,15,<2 unknown Top 16 duelists>,,,
