,placement,player,archetype,deck_id,deck_cost
0,1,Carlos Jesus Mercado,Spright,evil-twin-runick-spright-331537,$104.21
1,2,Angel Fernando Ovalle,Purrely,purrely-332200,$164.15
2,3,Aldo Augusto Montalvan,Kashtira,kashtira-331763,$194.33
3,4,Kevin Martinez,Kashtira,kashtira-335800,$208.71
4,5,Brandon Ossiel Aguilar,Vanquish Soul,enforcer-vanquish-soul-331615,$241.93
5,6,Cesar Antonio Martinez,Labrynth,labrynth-331875,$206.51
6,7,Rene Francisco Gonzalez,Labrynth,labrynth-331774,$178.23
7,8,Jesus Francisco Benitez,,,
8,9,Carlos Ariel De Gracia,Labrynth,labrynth-332301,$193.68
9,10,Guillermo Benjamin Morales,Spright,evil-twin-runick-spright-331865,$108.66
10,11,Roberto Alejandro Villanueva,Dragon Link,bystial-dragon-link-331878,$188.04
11,12,Juan Carlos Pineda,Vanquish Soul,vanquish-soul-335796,$181.63
12,13,Oscar Alexis Vargas,,,
13,14,Wilfredo Antonio Avelenda,,,
14,15,Hiram Montecillo,,,
15,16,Jose Carlo Carrillo,,,
16,17,Alan Omar Roman,Swordsoul,yang-zing-tenyi-swordsoul-331758,$110.38
17,18,Rodolfo Ramirez,Despia,branded-despia-331868,$135.43
18,19,Juan Carlos Coronel,Kashtira,kashtira-331860,$196.99
19,20,Ricardo Ruiz,Kashtira,kashtira-332049,$218.41
20,21,Juan Carlos Aviles,Kashtira,kashtira-331863,$215.95
21,22,Luis Gabriel Romo,Kashtira,kashtira-331876,$219.08
22,23,Cesar Alberto Salinas,Spright,evil-twin-runick-spright-335798,$128.30
23,24,Victor Alejandro Rodriguez,Adventurer Phantom Knights,ishizu-kashtira-adventurer-phantom-knights-331864,$125.02
24,25,Juan Francisco Copado,Kashtira,vanquish-soul-superheavy-samurai-kashtira-332073,$181.71
25,26,Jesus Andres Vite,Tearlaments,kashtira-ishizu-tearlaments-331775,$140.07
26,27,Juan Manuel Murillo,Spright,myutant-melffy-spright-331634,$141.91
27,28,Jonathan Oswaldo Martinez,Spright,melffy-spright-335799,$166.71
28,29,Alan Arturo Canchola,,,
29,30,Gerson Yashar Martinez,,,
30,31,Edgar Jhair Cabanas,,,
31,32,Brandol Huerta,,,
32,33,David Rosete,Kashtira,kashtira-331605,$183.44
33,34,Mario Fabian Vazquez,Gold Pride,p-u-n-k-gold-pride-331761,$135.63
34,35,Juan Carlos Valencia,Mathmech,spirit-mathmech-331764,$79.59
35,36,Roberto Emmanuel Jimenez,Vanquish Soul,kashtira-vanquish-soul-331862,$204.82
36,37,Rafael Alejandro Perea,Dinosaurs,transcendosaurus-dinosaurs-331632,$121.07
37,38,Cesar Edgar Sanchez,Rikka,sunavalon-rikka-331765,$110.39
38,39,Bayron Javier Ramirez,Despia,branded-despia-331867,$116.79
39,40,Joan Ivan Saavedra,Plunder Patroll,adventurer-plunder-patroll-332179,$131.23
40,41,Andres Alejandro Soto,Dragon Link,bystial-dragon-link-331770,$186.79
41,42,Jonathan Rogelio Padilla,Kashtira,blind-second-kashtira-331767,$235.80
42,43,Jesus Axel Coloapa,Superheavy Samurai,superheavy-samurai-331768,$109.57
43,44,Juan Manuel Martinez,Kashtira,kashtira-331877,$210.89
44,45,Carlos Ismael Estala,Kashtira,kashtira-332048,$208.38
45,46,Ariel Enrique Cansino,Kashtira,kashtira-331872,$208.14
46,47,Angel Arturo Borja,Kashtira,kashtira-331866,$209.63
47,48,Roger Cruz del Saz,Kashtira,kashtira-331603,$200.06
48,49,Salvador Israel Vargas,,,
49,50,Jose Aquilera,,,
50,51,Dominick Saul Ortega,,,
51,52,Adrian Ambriz,,,
52,53,Jose David Hanan,,,
53,54,J. Jesus Moreno,,,
54,55,Hector Mendez,,,
55,56,Enrique Moreno,,,
56,57,Gonzalo Andres Ruiz,,,
57,58,Giancarlo Valdez,,,
58,59,Luis Eduardo Villalobos,,,
59,60,Saulo Jesus Enrique Ibarra,,,
60,61,Eduardo Emiliano Gutierrez,,,
61,62,Daniel Coto,,,
62,63,Agustin Gonzales,,,
63,64,Claudio Rodrigo Perez,,,
