,placement,player,archetype,deck_id
0,1,Cesar Saborio,Snake-Eye,diabellstar-kashtira-snake-eye-488603
1,2,Ulises Mungia,Tenpai Dragon,
2,3,Kevin Martines,Snake-Eye,
3,4,Keylor Porras,Tenpai Dragon,kashtira-tenpai-dragon-488473
4,5,Marcelo Vargas,Snake-Eye,
5,6,Kenny Morales,Tenpai Dragon,
6,7,Hunter Dedzej,Tenpai Dragon,tenpai-dragon-489889
7,8,Luigi Caballero,Labrynth,
8,9,Michael Cordoba,Snake-Eye,
9,10,Roger Gomez,Snake-Eye,
10,11,Francisco Monge,Tenpai Dragon,
11,12,Miguel Coronado,Centur-Ion,
12,13,Yeimer Mora,Tenpai Dragon,
13,14,Daniel Coto,Melodious,
14,15,Carlos Saldana,Yubel,
15,16,Oscar Hernandez,Voiceless Voice,
