,placement,player,archetype,deck_id,deck_cost
0,1,Luka Forjan,Labrynth,,
1,2,Francesco Maggio,Kashtira,kashtira-329144,$241.23
2,3,Adi Porca,Spright,melffy-spright-328979,$106.23
3,4,Alen Kazalec,Kashtira,kashtira-329148,$240.72
4,5,Tibor Stefanac,Superheavy Samurai,superheavy-samurai-329150,$86.25
5,6,Arandjel Maticevic,Kashtira,kashtira-329155,$231.26
6,7,Lobro Stankovic,Dragon Link,bystial-dragon-link-329153,$209.96
7,8,Geoff Anthony Valcic	,Superheavy Samurai,superheavy-samurai-329151,$117.13
8,9,Filip Ljubicic,Despia,branded-despia-329161,$120.27
9,10,Adriano Gojkovic,Rikka,sunavalon-rikka-329167,$100.14
10,11,Albert Sirotic,Kashtira,kashtira-329160,$192.71
11,12,Dominik Colak,Kashtira,kashtira-329159,$261.62
12,13,Kristijan Masic,Eldlich,eldlich-329162,$27.17
13,14,Borna Saric,Labrynth,labrynth-329163,$101.12
14,15,Armin Porca,Labrynth,labrynth-329165,$134.08
15,16,Marko Sego,Superheavy Samurai,superheavy-samurai-329158,$121.49
