,id,name,copies,deck_part
0,17080584,"Abyssrhine, the Atlantean Spirit",3,0
1,21565445,"Neptabyss, the Atlantean Prince",3,0
2,58471134,Mermail Abysspike,2,0
3,99193444,"Poseidra, the Storming Atlantean",3,0
4,22446869,Mermail Abyssteus,3,0
5,74311226,Atlantean Dragoons,3,0
6,53085623,Mermail Shadow Squad,3,0
7,37104630,Atlantean Heavy Infantry,1,0
8,88307361,Superancient Deepsea King Coelacanth,1,0
9,8576764,Gluttonous Reptolphin Greethys,1,0
10,71978434,Deep Sea Minstrel,1,0
11,13959634,Moulinglacia the Elemental Lord,1,0
12,58288565,Butterfly Fish,1,0
13,10963799,Barrier Statue of the Torrent,1,0
14,42141493,Mulcharmy Fuwalos,3,0
15,84192580,Mulcharmy Purulia,3,0
16,14558128,Ash Blossom & Joyous Spring,3,0
17,25311006,Triple Tactics Talent,1,0
18,84211599,Pot of Prosperity,1,0
19,24224830,Called by the Grave,1,0
20,2295440,One for One,1,0
21,10045474,Infinite Impermanence,3,0
0,60517697,"Poseidra Abyss, the Atlantean Dragon Lord",1,1
1,74371660,Mermail Abyssgaios,1,1
2,9453320,"Abysstrite, the Atlantean Spirit",1,1
3,67557908,Number 4: Stealth Kragen,1,1
4,33113958,LeVirtue Dragon,1,1
5,96633955,Swordsoul Supreme Sovereign - Chengying,1,1
6,63731062,White Aura Monoceros,1,1
7,87188910,Ravenous Crocodragon Archethys,1,1
8,52687916,"Trishula, Dragon of the Ice Barrier",1,1
9,9464441,Adamancipator Risen - Dragite,1,1
10,50793215,Deep Sea Prima Donna,1,1
11,9763474,Haggard Lizardose,1,1
12,82184400,Abyss Keeper,1,1
13,79130389,Marincess Coral Anemone,1,1
14,69385019,Mermail King - Neptabyss,1,1
0,71978434,Deep Sea Minstrel,1,2
1,87126721,Mulcharmy Meowls,3,2
2,27204311,"Nibiru, the Primal Being",3,2
3,14532163,Lightning Storm,2,2
4,97120394,Anti-Magic Arrows,3,2
5,40366667,Dominus Impulse,3,2
