,id,name,copies,deck_part
0,9674034,Snake-Eye Ash,1,0
1,48452496,Snake-Eyes Flamberge Dragon,1,0
2,45663742,Snake-Eye Oak,2,0
3,90241276,Snake-Eyes Poplar,1,0
4,27260347,Snake-Eyes Diabellstar,1,0
5,72270339,Diabellstar the Black Witch,3,0
6,68304193,Kashtira Unicorn,2,0
7,32909498,Kashtira Fenrir,3,0
8,14558128,Ash Blossom & Joyous Spring,3,0
9,94145021,Droll & Lock Bird,3,0
10,25311006,Triple Tactics Talent,2,0
11,85106525,Bonfire,3,0
12,80845034,WANTED: Seeker of Sinful Spoils,3,0
13,89023486,Original Sinful Spoils - Snake-Eye,1,0
14,53639887,Divine Temple of the Snake-Eye,1,0
15,66328392,Deception of the Sinful Spoils,3,0
16,94845588,The Hallowed Azamina,1,0
17,69540484,Kashtira Birth,1,0
18,71832012,Pressured Planet Wraitsoth,1,0
19,10045474,Infinite Impermanence,3,0
20,48130397,Super Polymerization,3,0
21,24224830,Called by the Grave,1,0
22,44822037,Angel Statue - Azurune,1,0
0,94259633,Relinquished Anima,1,1
1,1528054,Silhouhatte Rabbit,1,1
2,45112597,Worldsea Dragon Zealantis,1,1
3,57134592,Salamangreat Raging Phoenix,1,1
4,2857636,Knightmare Phoenix,1,1
5,2772337,"Promethean Princess, Bestower of Flames",1,1
6,48815792,"Hiita the Fire Charmer, Ablaze",1,1
7,8264361,"Dharc the Dark Charmer, Gloomy",1,1
8,65741786,I:P Masquerena,1,1
9,29301450,S:P Little Knight,1,1
10,46396218,Azamina Ilia Silvia,1,1
11,73391962,Azamina Mu Rcielago,1,1
12,54757758,Mudragon of the Swamp,1,1
13,11765832,"Garura, Wings of Resonant Life",1,1
14,27240101,Kikinagashi Fucho,1,1
0,42141493,Mulcharmy Fuwalos,3,2
1,84192580,Mulcharmy Purulia,3,2
2,8267140,Cosmic Cyclone,3,2
3,83326048,Dimensional Barrier,3,2
4,58921041,Anti-Spell Fragrance,1,2
5,24207889,There Can Be Only One,1,2
6,82732705,Skill Drain,1,2
