,id,name,copies,deck_part
0,9674034,Snake-Eye Ash,1,0
1,48452496,Snake-Eyes Flamberge Dragon,1,0
2,45663742,Snake-Eye Oak,2,0
3,90241276,Snake-Eyes Poplar,1,0
4,27260347,Snake-Eyes Diabellstar,1,0
5,72270339,Diabellstar the Black Witch,3,0
6,33854624,Bystial Magnamhut,1,0
7,6637331,Bystial Druiswurm,1,0
8,42141493,Mulcharmy Fuwalos,3,0
9,14558128,Ash Blossom & Joyous Spring,3,0
10,59438930,Ghost Ogre & Snow Rabbit,1,0
11,27204311,"Nibiru, the Primal Being",1,0
12,85106525,Bonfire,3,0
13,80845034,WANTED: Seeker of Sinful Spoils,3,0
14,89023486,Original Sinful Spoils - Snake-Eye,1,0
15,53639887,Divine Temple of the Snake-Eye,1,0
16,66328392,Deception of the Sinful Spoils,3,0
17,94845588,The Hallowed Azamina,1,0
18,25311006,Triple Tactics Talent,1,0
19,24224830,Called by the Grave,1,0
20,48130397,Super Polymerization,3,0
21,10045474,Infinite Impermanence,3,0
22,40366667,Dominus Impulse,3,0
0,94259633,Relinquished Anima,1,1
1,74997493,Saryuja Skull Dread,1,1
2,45112597,Worldsea Dragon Zealantis,1,1
3,57134592,Salamangreat Raging Phoenix,1,1
4,2857636,Knightmare Phoenix,1,1
5,2772337,"Promethean Princess, Bestower of Flames",1,1
6,48815792,"Hiita the Fire Charmer, Ablaze",1,1
7,8264361,"Dharc the Dark Charmer, Gloomy",1,1
8,65741786,I:P Masquerena,1,1
9,29301450,S:P Little Knight,2,1
10,46396218,Azamina Ilia Silvia,1,1
11,73391962,Azamina Mu Rcielago,1,1
12,54757758,Mudragon of the Swamp,1,1
13,11765832,"Garura, Wings of Resonant Life",1,1
0,84192580,Mulcharmy Purulia,3,2
1,24508238,D.D. Crow,2,2
2,8267140,Cosmic Cyclone,2,2
3,35269904,Triple Tactics Thrust,2,2
4,65681983,Crossout Designator,1,2
5,58921041,Anti-Spell Fragrance,1,2
6,82732705,Skill Drain,1,2
7,83326048,Dimensional Barrier,1,2
8,31849106,Different Dimension Ground,1,2
9,36361633,Threatening Roar,1,2
