,id,name,copies,deck_part
0,18621798,Fire King Avatar Arvata,1,0
1,23015896,Fire King High Avatar Garunix,1,0
2,66431519,Sacred Fire King Garunix,1,0
3,2526224,Fire King High Avatar Kirin,3,0
4,44455560,Fire King Courtier Ulcanix,3,0
5,90681088,Legendary Fire King Ponix,1,0
6,72270339,Diabellstar the Black Witch,1,0
7,9674034,Snake-Eye Ash,1,0
8,90241276,Snake-Eyes Poplar,1,0
9,45663742,Snake-Eye Oak,1,0
10,48452496,Snake-Eyes Flamberge Dragon,1,0
11,42141493,Mulcharmy Fuwalos,3,0
12,14558127,Ash Blossom & Joyous Spring,3,0
13,85106525,Bonfire,3,0
14,80845034,WANTED: Seeker of Sinful Spoils,3,0
15,89023486,Original Sinful Spoils - Snake-Eye,1,0
16,57554544,Fire King Island,1,0
17,65305978,Fire King Sanctuary,1,0
18,24224830,Called by the Grave,1,0
19,94845588,The Hallowed Azamina,1,0
20,66328392,Deception of the Sinful Spoils,3,0
21,10045474,Infinite Impermanence,3,0
22,40366667,Dominus Impulse,3,0
0,45112597,Worldsea Dragon Zealantis,1,1
1,57134592,Salamangreat Raging Phoenix,1,1
2,20665527,Amphibious Swarmship Amblowhale,1,1
3,2772337,"Promethean Princess, Bestower of Flames",1,1
4,8264361,"Dharc the Dark Charmer, Gloomy",1,1
5,48815792,"Hiita the Fire Charmer, Ablaze",1,1
6,87871125,Salamangreat Sunlight Wolf,1,1
7,65741786,I:P Masquerena,1,1
8,29301450,S:P Little Knight,1,1
9,94259633,Relinquished Anima,1,1
10,27240101,Kikinagashi Fucho,1,1
11,64182380,"Garunix Eternity, Hyang of the Fire Kings",1,1
12,73082255,The Zombie Vampire,1,1
13,46396218,Azamina Ilia Silvia,1,1
14,73391962,Azamina Mu Rcielago,1,1
0,84192580,Mulcharmy Purulia,3,2
1,59438930,Ghost Ogre & Snow Rabbit,1,2
2,97268402,Effect Veiler,1,2
3,91703676,Fire King Sky Burn,1,2
4,8267140,Cosmic Cyclone,2,2
5,31849106,Different Dimension Ground,2,2
6,83326048,Dimensional Barrier,3,2
7,80101899,Trap Trick,2,2
