,id,name,copies,deck_part
0,61980241,Elzette of the White Forest,3,0
1,38648860,"Elzette, Azamina of the White Forest",2,0
2,24779554,Rucia of the White Forest,1,0
3,98385955,Silvy of the White Forest,3,0
4,72270339,Diabellstar the Black Witch,1,0
5,14558127,Ash Blossom & Joyous Spring,3,0
6,42141493,Mulcharmy Fuwalos,3,0
7,27204311,"Nibiru, the Primal Being",2,0
8,94145021,Droll & Lock Bird,2,0
9,97268402,Effect Veiler,1,0
10,59438930,Ghost Ogre & Snow Rabbit,2,0
11,3496543,Sinful Spoils of the White Forest,1,0
12,99289828,Tales of the White Forest,2,0
13,66328392,Deception of the Sinful Spoils,3,0
14,94845588,The Hallowed Azamina,1,0
15,80845034,WANTED: Seeker of Sinful Spoils,2,0
16,65681983,Crossout Designator,2,0
17,24224830,Called by the Grave,1,0
18,25311006,Triple Tactics Talent,1,0
19,62995268,Woes of the White Forest,1,0
20,10045474,Infinite Impermanence,3,0
21,53329234,Sinful Spoils of Slumber - Morrian,1,0
0,14307929,"Diabell, Queen of the White Forest",1,1
1,77313225,"Rciela, Sinister Soul of the White Forest",1,1
2,41924516,"Silvera, Wolf Tamer of the White Forest",1,1
3,73391962,Azamina Mu Rcielago,1,1
4,46174776,Azamina Moa Regina,1,1
5,46396218,Azamina Ilia Silvia,1,1
6,85065943,Saint Azamina,1,1
7,22850702,Chaos Angel,2,1
8,34755994,"Artemis, the Magistus Moon Maiden",1,1
9,50277355,Cross-Sheep,1,1
10,29301450,S:P Little Knight,1,1
11,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
12,11321089,Guardian Chimera,1,1
13,90953320,T.G. Hyper Librarian,1,1
0,87126721,Mulcharmy Meowls,3,2
1,84192580,Mulcharmy Purulia,2,2
2,34267821,Artifact Lancea,3,2
3,35269904,Triple Tactics Thrust,1,2
4,18144507,Harpie's Feather Duster,1,2
5,14532163,Lightning Storm,1,2
6,49299410,The Black Goat Laughs,2,2
7,164710,Mischief of the Gnomes,1,2
8,83326048,Dimensional Barrier,1,2
