,id,name,copies,deck_part
0,34022970,Ext Ryzeal,2,0
1,8633261,Ice Ryzeal,3,0
2,35844557,Sword Ryzeal,2,0
3,60764609,Fiendsmith Engraver,3,0
4,28803166,Lacrima the Crimson Tears,1,0
5,97651498,Fabled Lurrie,1,0
6,42141493,Mulcharmy Fuwalos,3,0
7,14558128,Ash Blossom & Joyous Spring,3,0
8,97268402,Effect Veiler,3,0
9,27204311,"Nibiru, the Primal Being",3,0
10,33854624,Bystial Magnamhut,1,0
11,6637331,Bystial Druiswurm,3,0
12,72656408,Bystial Baldrake,3,0
13,60242223,Bystial Saronir,3,0
14,85106525,Bonfire,3,0
15,98567237,Fiendsmith's Tract,2,0
16,99989863,Fiendsmith in Paradise,1,0
0,34909328,Ryzeal Detonator,2,1
1,45852939,Eclipse Twins,1,1
2,46772449,Evilswarm Exciton Knight,1,1
3,79559912,D/D/D Wave High King Caesar,1,1
4,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
5,21044178,Abyss Dweller,1,1
6,71818935,Moon of the Closed Heaven,1,1
7,2463794,Fiendsmith's Requiem,2,1
8,49867899,Fiendsmith's Sequence,1,1
9,32991300,Fiendsmith's Agnumday,1,1
10,82135803,Fiendsmith's Desirae,1,1
11,93860227,Necroquip Princess,1,1
12,22850702,Chaos Angel,1,1
0,34267821,Artifact Lancea,3,2
1,78661339,Fantastical Dragon Phantazmay,2,2
2,84192580,Mulcharmy Purulia,2,2
3,94145021,Droll & Lock Bird,3,2
4,64664373,Metaltronus,2,2
5,40605147,Solemn Strike,3,2
