,id,name,copies,deck_part
0,39931513,Tenpai Dragon Paidra,2,0
1,91810826,Tenpai Dragon Chundra,1,0
2,23657016,Tenpai Dragon Genroku,1,0
3,65326118,Tenpai Dragon Fadra,1,0
4,28803166,Lacrima the Crimson Tears,1,0
5,60764609,Fiendsmith Engraver,3,0
6,97651498,Fabled Lurrie,1,0
7,33854624,Bystial Magnamhut,1,0
8,6637331,Bystial Druiswurm,3,0
9,72656408,Bystial Baldrake,2,0
10,32731036,The Bystial Lubellion,3,0
11,42141493,Mulcharmy Fuwalos,3,0
12,14558128,Ash Blossom & Joyous Spring,3,0
13,27204311,"Nibiru, the Primal Being",3,0
14,97268402,Effect Veiler,2,0
15,59438930,Ghost Ogre & Snow Rabbit,2,0
16,30336082,Sangen Summoning,1,0
17,66730191,Sangen Kaimen,1,0
18,73628505,Terraforming,1,0
19,98567237,Fiendsmith's Tract,2,0
20,34090915,Branded Regained,1,0
21,25311006,Triple Tactics Talent,2,0
22,84211599,Pot of Prosperity,1,0
23,99989863,Fiendsmith in Paradise,1,0
0,18969888,Sangenpai Transcendent Dragion,1,1
1,82570174,Sangenpai Bident Dragion,1,1
2,39402797,Trident Dragion,1,1
3,60303245,Salamangreat Almiraj,1,1
4,48815792,"Hiita the Fire Charmer, Ablaze",1,1
5,29301450,S:P Little Knight,1,1
6,71818935,Moon of the Closed Heaven,1,1
7,2463794,Fiendsmith's Requiem,2,1
8,49867899,Fiendsmith's Sequence,1,1
9,82135803,Fiendsmith's Desirae,1,1
10,93860227,Necroquip Princess,1,1
11,35103106,Evolzar Lars,1,1
12,71100270,Goblin's Crazy Beast,1,1
13,90448279,Divine Arsenal AA-ZEUS - Sky Thunder,1,1
0,34267821,Artifact Lancea,3,2
1,78661339,Fantastical Dragon Phantazmay,3,2
2,18144507,Harpie's Feather Duster,1,2
3,34090915,Branded Regained,1,2
4,64664373,Metaltronus,3,2
5,40605147,Solemn Strike,3,2
6,34909328,Ryzeal Detonator,1,2
