,id,name,copies,deck_part
0,32061192,Maliss P Dormouse,3,0
1,69272449,Maliss P White Rabbit,3,0
2,96676583,Maliss P Chessy Cat,2,0
3,33854624,Bystial Magnamhut,1,0
4,72656408,Bystial Baldrake,1,0
5,6637331,Bystial Druiswurm,3,0
6,32731036,The Bystial Lubellion,3,0
7,68337209,Maliss in Underground,3,0
8,34090915,Branded Regained,1,0
9,1475311,Allure of Darkness,2,0
10,64664373,Metaltronus,2,0
11,35480699,Book of Eclipse,2,0
12,25311006,Triple Tactics Talent,2,0
13,73628505,Terraforming,1,0
14,75500286,Gold Sarcophagus,1,0
15,24224830,Called by the Grave,1,0
16,10045474,Infinite Impermanence,3,0
17,40366667,Dominus Impulse,3,0
18,20726052,Maliss C GWC-06,1,0
19,94722358,Maliss C MTP-07,1,0
20,57111661,Maliss C TB-11,1,0
0,21848500,Maliss Q Hearts Crypter,1,1
1,68059897,Maliss Q Red Ransom,1,1
2,95454996,Maliss Q White Binder,1,1
3,4731783,"A Bao A Qu, the Lightless Shadow",1,1
4,59859086,Splash Mage,1,1
5,30342076,Link Decoder,1,1
6,5043010,Firewall Dragon,1,1
7,24842059,Linguriboh,1,1
8,86066372,Accesscode Talker,1,1
9,8264361,"Dharc the Dark Charmer, Gloomy",1,1
10,29301450,S:P Little Knight,1,1
11,9763474,Haggard Lizardose,1,1
12,75452921,Knightmare Cerberus,1,1
13,65330383,Knightmare Gryphon,1,1
14,34909328,Ryzeal Detonator,1,1
0,34267821,Artifact Lancea,3,2
1,42141493,Mulcharmy Fuwalos,3,2
2,94145021,Droll & Lock Bird,3,2
3,18144507,Harpie's Feather Duster,1,2
4,14532163,Lightning Storm,1,2
5,35269904,Triple Tactics Thrust,3,2
6,83326048,Dimensional Barrier,1,2
