,id,name,copies,deck_part
0,25865565,Crystron Sulfador,2,0
1,3422200,Crystron Sulfefnir,3,0
2,99471856,Crystron Tristaros,3,0
3,29838323,Crystron Thystvern,1,0
4,20050865,Crystron Citree,1,0
5,83443619,Crystron Smiger,3,0
6,26400609,"Tidal, Dragon Ruler of Waterfalls",2,0
7,53932291,Speedroid Taketomborg,1,0
8,81275020,Speedroid Terrortop,3,0
9,14558128,Ash Blossom & Joyous Spring,3,0
10,97268402,Effect Veiler,3,0
11,27204311,"Nibiru, the Primal Being",3,0
12,81439174,Foolish Burial,1,0
13,24224830,Called by the Grave,1,0
14,31552317,Crystron Inclusion,3,0
15,24299458,Forbidden Droplet,3,0
16,10045474,Infinite Impermanence,3,0
17,53829527,Crystron Cluster,1,0
0,47736165,Crystron Eleskeletus,2,1
1,13455674,Crystron Quariongandrax,1,1
2,15982593,Centur-Ion Legatia,1,1
3,84664085,Satellite Warrior,1,1
4,37675907,Accel Synchron,1,1
5,40509732,Samurai Destroyer,1,1
6,80040886,Navy Dragon Mech,1,1
7,33158448,F.A. Dawn Dragster,1,1
8,58069384,Cyber Dragon Nova,1,1
9,10443957,Cyber Dragon Infinity,1,1
10,29301450,S:P Little Knight,1,1
11,58699500,"Cherubini, Ebon Angel of the Burning Abyss",1,1
12,41739381,Clockwork Knight,1,1
13,75286621,Invoked Mechaba,1,1
0,34267821,Artifact Lancea,3,2
1,99193444,"Poseidra, the Storming Atlantean",2,2
2,18144507,Harpie's Feather Duster,1,2
3,35269904,Triple Tactics Thrust,2,2
4,25311006,Triple Tactics Talent,2,2
5,40605147,Solemn Strike,3,2
6,83326048,Dimensional Barrier,1,2
7,32646477,Dark Strike Fighter,1,2
