,id,name,copies,deck_part
0,42009836,Fossil Dyna Pachycephalo,3,0
1,60303688,"Dogmatika Ecclesia, the Virtuous",2,0
2,10963799,Barrier Statue of the Torrent,3,0
3,59750328,Card of Demise,1,0
4,84211599,Pot of Prosperity,1,0
5,98645731,Pot of Duality,3,0
6,19508728,Moon Mirror Shield,1,0
7,1984618,Nadir Servant,3,0
8,70485614,Decisive Battle of Golgonda,3,0
9,49238328,Pot of Extravagance,2,0
10,15693423,Evenly Matched,3,0
11,82956214,Dogmatika Punishment,3,0
12,40605147,Solemn Strike,2,0
13,24207889,There Can Be Only One,1,0
14,41420027,Solemn Judgment,3,0
15,36975314,Crackdown,3,0
16,12682213,Iron Thunder,3,0
0,44146295,Mirrorjade the Iceblade Dragon,2,1
1,41373230,Titaniklad the Ash Dragon,3,1
2,80532587,Elder Entity N'tss,3,1
3,11765832,"Garura, Wings of Resonant Life",1,1
4,93125329,Golden Cloud Beast - Malong,1,1
5,10019086,Tri-Brigade Arms Bucephalus II,1,1
6,84121193,Codebreaker Virus Swordsman,1,1
7,90809975,Toadally Awesome,1,1
8,9940036,Mereologic Aggregator,1,1
9,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
0,34267821,Artifact Lancea,3,2
1,2263869,Ultimate Slayer,3,2
2,12580477,Raigeki,2,2
3,18144507,Harpie's Feather Duster,1,2
4,14532163,Lightning Storm,2,2
5,77538567,Dark Bribe,1,2
6,30459350,Imperial Iron Wall,3,2
