,id,name,copies,deck_part
0,25801745,"Lo, the Prayers of the Voiceless Voice",3,0
1,51296484,"Saffira, Dragon Queen of the Voiceless Voice",3,0
2,88284599,"Sauravis, Dragon Sage of the Voiceless Voice",1,0
3,4810828,"Sauravis, the Ancient and Ascended",1,0
4,10774240,"Skull Guardian, Protector of the Voiceless Voice",2,0
5,95679145,Dogmatika Maximus,1,0
6,26866984,Trias Hierarchia,1,0
7,92919429,Diviner of the Herald,3,0
8,33854624,Bystial Magnamhut,1,0
9,14558128,Ash Blossom & Joyous Spring,3,0
10,97268402,Effect Veiler,2,0
11,27204311,"Nibiru, the Primal Being",2,0
12,39114494,Blessing of the Voiceless Voice,1,0
13,13048472,Pre-Preparation of Rites,2,0
14,98477480,Barrier of the Voiceless Voice,3,0
15,52472775,Prayers of the Voiceless Voice,2,0
16,1984618,Nadir Servant,3,0
17,25311006,Triple Tactics Talent,2,0
18,84211599,Pot of Prosperity,1,0
19,24224830,Called by the Grave,1,0
20,10045474,Infinite Impermanence,3,0
21,97045737,Dominus Purge,3,0
22,86310763,Radiance of the Voiceless Voice,1,0
0,79606837,Herald of the Arc Light,1,1
1,22850702,Chaos Angel,1,1
2,74586817,PSY-Framelord Omega,1,1
3,98506199,Wind Pegasus @Ignister,1,1
4,80696379,Odd-Eyes Meteorburst Dragon,1,1
5,11765832,"Garura, Wings of Resonant Life",1,1
6,80532587,Elder Entity N'tss,1,1
7,9940036,Mereologic Aggregator,1,1
8,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
9,94259633,Relinquished Anima,1,1
10,73898890,Dyna Mondo,2,1
11,2220237,Secure Gardna,1,1
12,60303245,Salamangreat Almiraj,1,1
13,29301450,S:P Little Knight,1,1
0,66425726,Odd-Eyes Pendulumgraph Dragon,1,2
1,34267821,Artifact Lancea,3,2
2,42141493,Mulcharmy Fuwalos,3,2
3,8267140,Cosmic Cyclone,2,2
4,2263869,Ultimate Slayer,3,2
5,41420027,Solemn Judgment,3,2
