,id,name,copies,deck_part
0,28803166,Lacrima the Crimson Tears,1,0
1,60764609,Fiendsmith Engraver,3,0
2,97651498,Fabled Lurrie,1,0
3,72270339,Diabellstar the Black Witch,3,0
4,32909498,Kashtira Fenrir,3,0
5,68304193,Kashtira Unicorn,1,0
6,30680659,Water Enchantress of the Temple,3,0
7,2563463,Wandering Gryphon Rider,1,0
8,97631303,Magicians' Souls,3,0
9,12266229,Illusion of Chaos,1,0
10,14558127,Ash Blossom & Joyous Spring,3,0
11,42141493,Mulcharmy Fuwalos,3,0
12,94145021,Droll & Lock Bird,3,0
13,59438930,Ghost Ogre & Snow Rabbit,3,0
14,97268402,Effect Veiler,3,0
15,96729612,Preparation of Rites,1,0
16,3285551,Rite of Aramesir,3,0
17,39568067,Fateful Adventure,1,0
18,38745520,"Dracoback, the Rideable Dragon",1,0
19,71832012,Pressured Planet Wraitsoth,3,0
20,69540484,Kashtira Birth,1,0
21,98567237,Fiendsmith's Tract,1,0
22,80845034,WANTED: Seeker of Sinful Spoils,3,0
23,66328392,Deception of the Sinful Spoils,3,0
24,94845588,The Hallowed Azamina,1,0
25,24224830,Called by the Grave,1,0
26,81439174,Foolish Burial,1,0
27,10045474,Infinite Impermanence,3,0
28,53329234,Sinful Spoils of Slumber - Morrian,1,0
29,44822037,Angel Statue - Azurune,1,0
0,46396218,Azamina Ilia Silvia,1,1
1,73391962,Azamina Mu Rcielago,1,1
2,82135803,Fiendsmith's Desirae,1,1
3,93860227,Necroquip Princess,1,1
4,49867899,Fiendsmith's Sequence,1,1
5,2463794,Fiendsmith's Requiem,1,1
6,71818935,Moon of the Closed Heaven,1,1
7,34755994,"Artemis, the Magistus Moon Maiden",1,1
8,9839945,"Lyna the Light Charmer, Lustrous",1,1
9,8264361,"Dharc the Dark Charmer, Gloomy",1,1
10,45819647,"Selene, Queen of the Master Magicians",1,1
11,1528054,Silhouhatte Rabbit,1,1
12,98978921,Link Spider,1,1
13,86066372,Accesscode Talker,1,1
14,29301450,S:P Little Knight,1,1
0,84192580,Mulcharmy Purulia,3,2
1,52038441,Ghost Mourner & Moonlit Chill,3,2
2,27204311,"Nibiru, the Primal Being",2,2
3,91800273,Dimension Shifter,1,2
4,40366667,Dominus Impulse,1,2
5,72329844,Spright Sprind,1,2
6,69750546,Volcanic Scattershot,1,2
7,65681983,Crossout Designator,3,2
