,id,name,copies,deck_part
0,48452496,Snake-Eyes Flamberge Dragon,1,0
1,27260347,Snake-Eyes Diabellstar,1,0
2,68304193,Kashtira Unicorn,3,0
3,72270339,Diabellstar the Black Witch,2,0
4,32909498,Kashtira Fenrir,1,0
5,60764609,Fiendsmith Engraver,2,0
6,28803166,Lacrima the Crimson Tears,1,0
7,45663742,Snake-Eye Oak,1,0
8,9674034,Snake-Eye Ash,2,0
9,90241276,Snake-Eyes Poplar,2,0
10,97651498,Fabled Lurrie,1,0
11,94145021,Droll & Lock Bird,3,0
12,2295440,One for One,1,0
13,25311006,Triple Tactics Talent,1,0
14,85106525,Bonfire,1,0
15,94845588,The Hallowed Azamina,1,0
16,98567237,Fiendsmith's Tract,1,0
17,24299458,Forbidden Droplet,3,0
18,26700718,Dramatic Snake-Eye Chase,1,0
19,80845034,WANTED: Seeker of Sinful Spoils,3,0
20,66328392,Deception of the Sinful Spoils,1,0
21,69540484,Kashtira Birth,1,0
22,53639887,Divine Temple of the Snake-Eye,1,0
23,71832012,Pressured Planet Wraitsoth,2,0
24,10045474,Infinite Impermanence,3,0
0,82135803,Fiendsmith's Desirae,1,1
1,58071334,Snake-Eyes Doomed Dragon,1,1
2,73391962,Azamina Mu Rcielago,1,1
3,46396218,Azamina Ilia Silvia,1,1
4,86066372,Accesscode Talker,1,1
5,2772337,"Promethean Princess, Bestower of Flames",1,1
6,45819647,"Selene, Queen of the Master Magicians",1,1
7,2857636,Knightmare Phoenix,1,1
8,48815792,"Hiita the Fire Charmer, Ablaze",1,1
9,29301450,S:P Little Knight,1,1
10,49867899,Fiendsmith's Sequence,1,1
11,71818935,Moon of the Closed Heaven,1,1
12,65741786,I:P Masquerena,1,1
13,2463794,Fiendsmith's Requiem,1,1
14,94259633,Relinquished Anima,1,1
0,34267821,Artifact Lancea,3,2
1,42141493,Mulcharmy Fuwalos,3,2
2,1528054,Silhouhatte Rabbit,1,2
3,14532163,Lightning Storm,2,2
4,18144507,Harpie's Feather Duster,1,2
5,1149109,Deck Lockdown,2,2
6,24207889,There Can Be Only One,1,2
7,44822037,Angel Statue - Azurune,1,2
8,82732705,Skill Drain,1,2
