,id,name,copies,deck_part
0,9674034,Snake-Eye Ash,1,0
1,48452496,Snake-Eyes Flamberge Dragon,1,0
2,45663742,Snake-Eye Oak,2,0
3,90241276,Snake-Eyes Poplar,1,0
4,27260347,Snake-Eyes Diabellstar,1,0
5,72270339,Diabellstar the Black Witch,3,0
6,97651498,Fabled Lurrie,1,0
7,28803166,Lacrima the Crimson Tears,1,0
8,60764609,Fiendsmith Engraver,2,0
9,32909498,Kashtira Fenrir,3,0
10,14558128,Ash Blossom & Joyous Spring,3,0
11,97268402,Effect Veiler,3,0
12,94145021,Droll & Lock Bird,3,0
13,59438930,Ghost Ogre & Snow Rabbit,2,0
14,52038441,Ghost Mourner & Moonlit Chill,2,0
15,85106525,Bonfire,3,0
16,98567237,Fiendsmith's Tract,1,0
17,80845034,WANTED: Seeker of Sinful Spoils,3,0
18,89023486,Original Sinful Spoils - Snake-Eye,1,0
19,53639887,Divine Temple of the Snake-Eye,1,0
20,94845588,The Hallowed Azamina,1,0
21,66328392,Deception of the Sinful Spoils,2,0
22,10045474,Infinite Impermanence,3,0
0,94259633,Relinquished Anima,1,1
1,45112597,Worldsea Dragon Zealantis,1,1
2,57134592,Salamangreat Raging Phoenix,1,1
3,2857636,Knightmare Phoenix,1,1
4,2772337,"Promethean Princess, Bestower of Flames",1,1
5,48815792,"Hiita the Fire Charmer, Ablaze",1,1
6,8264361,"Dharc the Dark Charmer, Gloomy",1,1
7,65741786,I:P Masquerena,1,1
8,29301450,S:P Little Knight,1,1
9,98127546,Underworld Goddess of the Closed World,1,1
10,2463794,Fiendsmith's Requiem,1,1
11,49867899,Fiendsmith's Sequence,1,1
12,82135803,Fiendsmith's Desirae,1,1
13,46396218,Azamina Ilia Silvia,1,1
14,73391962,Azamina Mu Rcielago,1,1
0,91800273,Dimension Shifter,1,2
1,42141493,Mulcharmy Fuwalos,1,2
2,84192580,Mulcharmy Purulia,3,2
3,24224830,Called by the Grave,1,2
4,8267140,Cosmic Cyclone,3,2
5,65681983,Crossout Designator,3,2
6,36361633,Threatening Roar,3,2
