,id,name,copies,deck_part
0,61980241,Elzette of the White Forest,3,0
1,38648860,"Elzette, Azamina of the White Forest",1,0
2,25592142,Astellar of the White Forest,1,0
3,24779554,Rucia of the White Forest,1,0
4,98385955,Silvy of the White Forest,3,0
5,72270339,Diabellstar the Black Witch,2,0
6,28803166,Lacrima the Crimson Tears,1,0
7,60764609,Fiendsmith Engraver,2,0
8,97651498,Fabled Lurrie,1,0
9,33854624,Bystial Magnamhut,1,0
10,6637331,Bystial Druiswurm,2,0
11,27204311,"Nibiru, the Primal Being",2,0
12,42141493,Mulcharmy Fuwalos,3,0
13,14558128,Ash Blossom & Joyous Spring,3,0
14,99289828,Tales of the White Forest,1,0
15,3496543,Sinful Spoils of the White Forest,1,0
16,94845588,The Hallowed Azamina,1,0
17,66328392,Deception of the Sinful Spoils,1,0
18,80845034,WANTED: Seeker of Sinful Spoils,3,0
19,98567237,Fiendsmith's Tract,1,0
20,25311006,Triple Tactics Talent,2,0
21,24224830,Called by the Grave,1,0
22,10045474,Infinite Impermanence,3,0
23,39491690,Azamina Aphes,1,0
0,14307929,"Diabell, Queen of the White Forest",1,1
1,77313225,"Rciela, Sinister Soul of the White Forest",1,1
2,41924516,"Silvera, Wolf Tamer of the White Forest",1,1
3,22850702,Chaos Angel,1,1
4,66532962,Magistus Chorozo,1,1
5,11321089,Guardian Chimera,1,1
6,46396218,Azamina Ilia Silvia,1,1
7,73391962,Azamina Mu Rcielago,1,1
8,82135803,Fiendsmith's Desirae,1,1
9,32991300,Fiendsmith's Agnumday,1,1
10,49867899,Fiendsmith's Sequence,1,1
11,2463794,Fiendsmith's Requiem,1,1
12,71818935,Moon of the Closed Heaven,1,1
13,4731783,"A Bao A Qu, the Lightless Shadow",1,1
14,29301450,S:P Little Knight,1,1
0,34267821,Artifact Lancea,3,2
1,87126721,Mulcharmy Meowls,2,2
2,84192580,Mulcharmy Purulia,3,2
3,27204311,"Nibiru, the Primal Being",1,2
4,18144507,Harpie's Feather Duster,1,2
5,54693926,Dark Ruler No More,2,2
6,43711255,Prohibition,3,2
