,id,name,copies,deck_part
0,32731036,The Bystial Lubellion,2,0
1,68304193,Kashtira Unicorn,2,0
2,32909498,Kashtira Fenrir,1,0
3,6637331,Bystial Druiswurm,1,0
4,33854624,Bystial Magnamhut,1,0
5,72656408,Bystial Baldrake,1,0
6,60764609,Fiendsmith Engraver,3,0
7,28803166,Lacrima the Crimson Tears,1,0
8,42141493,Mulcharmy Fuwalos,3,0
9,96676583,Maliss P Chessy Cat,1,0
10,69272449,Maliss P White Rabbit,1,0
11,32061192,Maliss P Dormouse,2,0
12,14558127,Ash Blossom & Joyous Spring,3,0
13,97651498,Fabled Lurrie,1,0
14,94145021,Droll & Lock Bird,3,0
15,25311006,Triple Tactics Talent,1,0
16,35269904,Triple Tactics Thrust,2,0
17,73628505,Terraforming,1,0
18,75500286,Gold Sarcophagus,1,0
19,98567237,Fiendsmith's Tract,2,0
20,24299458,Forbidden Droplet,3,0
21,34090915,Branded Regained,1,0
22,69540484,Kashtira Birth,1,0
23,68337209,Maliss in Underground,2,0
24,71832012,Pressured Planet Wraitsoth,1,0
25,10045474,Infinite Impermanence,1,0
26,20726052,Maliss C GWC-06,1,0
27,94722358,Maliss C MTP-07,1,0
28,99989863,Fiendsmith in Paradise,1,0
0,82135803,Fiendsmith's Desirae,1,1
1,93860227,Necroquip Princess,1,1
2,4731783,"A Bao A Qu, the Lightless Shadow",1,1
3,86066372,Accesscode Talker,1,1
4,21848500,Maliss Q Hearts Crypter,1,1
5,68059897,Maliss Q Red Ransom,1,1
6,95454996,Maliss Q White Binder,1,1
7,8264361,"Dharc the Dark Charmer, Gloomy",1,1
8,29301450,S:P Little Knight,1,1
9,49867899,Fiendsmith's Sequence,1,1
10,71818935,Moon of the Closed Heaven,1,1
11,9763474,Haggard Lizardose,1,1
12,65741786,I:P Masquerena,1,1
13,2463794,Fiendsmith's Requiem,1,1
14,24842059,Linguriboh,1,1
0,34267821,Artifact Lancea,3,2
1,84192580,Mulcharmy Purulia,3,2
2,14532163,Lightning Storm,2,2
3,18144506,Harpie's Feather Duster,1,2
4,24224830,Called by the Grave,1,2
5,35480699,Book of Eclipse,3,2
6,12444060,Artifact Sanctum,1,2
7,31849106,Different Dimension Ground,1,2
