,id,name,copies,deck_part
0,63198739,Primite Dragon Ether Beryl,3,0
1,43096270,Alexandrite Dragon,1,0
2,3557275,White Duston,1,0
3,97651498,Fabled Lurrie,1,0
4,28803166,Lacrima the Crimson Tears,1,0
5,60764609,Fiendsmith Engraver,3,0
6,60242223,Bystial Saronir,1,0
7,6637331,Bystial Druiswurm,3,0
8,33854624,Bystial Magnamhut,1,0
9,72656408,Bystial Baldrake,3,0
10,32731036,The Bystial Lubellion,3,0
11,42141493,Mulcharmy Fuwalos,3,0
12,14558128,Ash Blossom & Joyous Spring,3,0
13,97268402,Effect Veiler,3,0
14,27204311,"Nibiru, the Primal Being",3,0
15,56506740,Primite Lordly Lode,3,0
16,29095457,Primite Drillbeam,1,0
17,92501449,Primite Roar,1,0
18,98567237,Fiendsmith's Tract,2,0
19,34090915,Branded Regained,1,0
20,99989863,Fiendsmith in Paradise,1,0
0,73539069,Striker Dragon,1,1
1,24361622,Hieratic Seal of the Heavenly Spheres,1,1
2,29301450,S:P Little Knight,1,1
3,71818935,Moon of the Closed Heaven,1,1
4,2463794,Fiendsmith's Requiem,2,1
5,49867899,Fiendsmith's Sequence,1,1
6,32991300,Fiendsmith's Agnumday,1,1
7,82135803,Fiendsmith's Desirae,1,1
8,93860227,Necroquip Princess,1,1
9,79559912,D/D/D Wave High King Caesar,1,1
10,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
11,38495396,Constellar Ptolemy M7,1,1
12,21044178,Abyss Dweller,1,1
13,22850702,Chaos Angel,1,1
0,34267821,Artifact Lancea,3,2
1,87126721,Mulcharmy Meowls,3,2
2,84192580,Mulcharmy Purulia,2,2
3,94145021,Droll & Lock Bird,3,2
4,40605147,Solemn Strike,3,2
5,41488249,Primite Howl,1,2
