,id,name,copies,deck_part
0,61980241,Elzette of the White Forest,3,0
1,25592142,Astellar of the White Forest,3,0
2,24779554,Rucia of the White Forest,1,0
3,98385955,Silvy of the White Forest,3,0
4,15005145,Centur-Ion Primera,1,0
5,42493140,Centur-Ion Trudea,1,0
6,97698279,Centur-Ion Gargoyle II,1,0
7,60764609,Fiendsmith Engraver,2,0
8,28803166,Lacrima the Crimson Tears,1,0
9,42141493,Mulcharmy Fuwalos,3,0
10,14558128,Ash Blossom & Joyous Spring,3,0
11,99289828,Tales of the White Forest,2,0
12,41371602,Stand Up Centur-Ion!,2,0
13,77765207,Emblema Oath,1,0
14,92907248,Wake Up Centur-Ion!,1,0
15,35552985,Fiendsmith's Sanct,1,0
16,54261514,Final Bringer of the End Times,3,0
17,24299458,Forbidden Droplet,3,0
18,24224830,Called by the Grave,1,0
19,35269904,Triple Tactics Thrust,3,0
20,25311006,Triple Tactics Talent,1,0
21,15693423,Evenly Matched,3,0
22,36361633,Threatening Roar,1,0
23,62995268,Woes of the White Forest,1,0
0,14307929,"Diabell, Queen of the White Forest",1,1
1,77313225,"Rciela, Sinister Soul of the White Forest",1,1
2,41924516,"Silvera, Wolf Tamer of the White Forest",1,1
3,8841431,Centur-Ion Primera Primus,1,1
4,15982593,Centur-Ion Legatia,1,1
5,71858682,Centur-Ion Auxila,1,1
6,22850702,Chaos Angel,1,1
7,63436931,Crimson Dragon,1,1
8,21123811,Cosmic Blazar Dragon,1,1
9,26268488,Stardust Sifr Divine Dragon,1,1
10,29301450,S:P Little Knight,1,1
11,71818935,Moon of the Closed Heaven,1,1
12,2463794,Fiendsmith's Requiem,1,1
13,49867899,Fiendsmith's Sequence,1,1
14,82135803,Fiendsmith's Desirae,1,1
0,84192580,Mulcharmy Purulia,2,2
1,60643554,Ghost Sister & Spooky Dogwood,3,2
2,18144507,Harpie's Feather Duster,1,2
3,8267140,Cosmic Cyclone,1,2
4,58921041,Anti-Spell Fragrance,1,2
5,82732705,Skill Drain,1,2
6,36361633,Threatening Roar,2,2
7,67234805,Powersink Stone,3,2
8,80666118,Scarlight Red Dragon Archfiend,1,2
