,id,name,copies,deck_part
0,23076639,Gazelle the King of Mythical Claws,3,0
1,55461744,Big-Winged Berfomet,1,0
2,28954097,Mirror Swordknight,3,0
3,92565383,Cornfield Coatl,3,0
4,53765052,Diabellze the Original Sinkeeper,1,0
5,58143852,Nightmare Apprentice,3,0
6,60764609,Fiendsmith Engraver,2,0
7,28803166,Lacrima the Crimson Tears,1,0
8,97651498,Fabled Lurrie,1,0
9,61173621,Edge Imp Chain,2,0
10,13650422,Evil HERO Adusted Gold,1,0
11,45659520,Evil HERO Sinister Necrom,1,0
12,14558128,Ash Blossom & Joyous Spring,3,0
13,63136489,Chimera Fusion,3,0
14,94820406,Dark Fusion,1,0
15,24094653,Polymerization,1,0
16,34773082,Frightfur Patchwork,3,0
17,98567237,Fiendsmith's Tract,1,0
18,35480699,Book of Eclipse,3,0
19,48130397,Super Polymerization,3,0
20,25311006,Triple Tactics Talent,3,0
21,24224830,Called by the Grave,1,0
0,69601012,Berfomet the Mythical King of Phantom Beasts,1,1
1,1769875,Chimera the King of Phantom Beasts,1,1
2,11321089,Guardian Chimera,1,1
3,43227,Magnum the Reliever,1,1
4,11765832,"Garura, Wings of Resonant Life",1,1
5,28143384,Aerial Eater,1,1
6,93860227,Necroquip Princess,1,1
7,82135803,Fiendsmith's Desirae,1,1
8,49867899,Fiendsmith's Sequence,1,1
9,2463794,Fiendsmith's Requiem,1,1
10,71607202,Muckraker From the Underworld,1,1
11,29301450,S:P Little Knight,1,1
12,50277355,Cross-Sheep,1,1
13,22850702,Chaos Angel,1,1
14,79559912,D/D/D Wave High King Caesar,1,1
0,63947968,Fiend Reflection of the Millennium,1,2
1,18144507,Harpie's Feather Duster,1,2
2,8267140,Cosmic Cyclone,3,2
3,2263869,Ultimate Slayer,3,2
4,24207889,There Can Be Only One,1,2
5,83326048,Dimensional Barrier,3,2
6,80532587,Elder Entity N'tss,1,2
7,72578374,Khaos Starsource Dragon,1,2
8,93125329,Golden Cloud Beast - Malong,1,2
