,id,name,copies,deck_part
0,4779091,Yubel - Terror Incarnate,1,0
1,78371393,Yubel,1,0
2,90829280,Spirit of Yubel,2,0
3,24215921,Gruesome Grave Squirmer,1,0
4,81034083,Dark Beckoning Beast,2,0
5,62318994,Samsara D Lotus,3,0
6,60764609,Fiendsmith Engraver,3,0
7,28803166,Lacrima the Crimson Tears,1,0
8,97651498,Fabled Lurrie,1,0
9,41165831,Unchained Soul of Sharvara,1,0
10,68304193,Kashtira Unicorn,2,0
11,32909498,Kashtira Fenrir,1,0
12,14558127,Ash Blossom & Joyous Spring,3,0
13,94145021,Droll & Lock Bird,3,0
14,93729896,Nightmare Throne,3,0
15,65261141,Nightmare Pain,1,0
16,98567237,Fiendsmith's Tract,2,0
17,24224830,Called by the Grave,1,0
18,80312545,Opening of the Spirit Gates,1,0
19,73628505,Terraforming,1,0
20,73468603,Set Rotation,1,0
21,71832012,Pressured Planet Wraitsoth,1,0
22,69540484,Kashtira Birth,1,0
23,25311006,Triple Tactics Talent,1,0
24,80801743,Abominable Chamber of the Unchained,1,0
25,44822037,Angel Statue - Azurune,1,0
26,10045474,Infinite Impermanence,3,0
0,80453041,Phantom of Yubel,2,1
1,82135803,Fiendsmith's Desirae,1,1
2,28143384,Aerial Eater,1,1
3,47172959,Yubel - The Loving Defender Forever,1,1
4,22850702,Chaos Angel,1,1
5,24269961,Unchained Soul Lord of Yama,1,1
6,1528054,Silhouhatte Rabbit,1,1
7,67680512,Unchained Soul of Rage,1,1
8,71818935,Moon of the Closed Heaven,1,1
9,2463794,Fiendsmith's Requiem,1,1
10,49867899,Fiendsmith's Sequence,1,1
11,29301450,S:P Little Knight,1,1
12,71607202,Muckraker From the Underworld,1,1
13,2857636,Knightmare Phoenix,1,1
0,33746252,Majesty's Fiend,1,2
1,40975574,Red Resonator,1,2
2,42141493,Mulcharmy Fuwalos,3,2
3,35269904,Triple Tactics Thrust,3,2
4,8267140,Cosmic Cyclone,3,2
5,58921041,Anti-Spell Fragrance,1,2
6,31849106,Different Dimension Ground,1,2
7,83326048,Dimensional Barrier,1,2
8,15693423,Evenly Matched,1,2
