,id,name,copies,deck_part
0,41165831,Unchained Soul of Sharvara,1,0
1,88554436,Unchained Soul of Shyama,1,0
2,1966438,Abominable Unchained Soul,1,0
3,31588572,Unchained Twins - Sarama,1,0
4,26236560,Unchained Twins - Aruha,2,0
5,97651498,Fabled Lurrie,1,0
6,60764609,Fiendsmith Engraver,3,0
7,28803166,Lacrima the Crimson Tears,1,0
8,31629407,Magical Musketeer Starfire,3,0
9,68024506,Magical Musketeer Calamity,1,0
10,42141493,Mulcharmy Fuwalos,3,0
11,14558128,Ash Blossom & Joyous Spring,3,0
12,24224830,Called by the Grave,1,0
13,27412542,Abomination's Prison,3,0
14,98567237,Fiendsmith's Tract,3,0
15,35552985,Fiendsmith's Sanct,1,0
16,35269904,Triple Tactics Thrust,3,0
17,25311006,Triple Tactics Talent,2,0
18,24299458,Forbidden Droplet,3,0
19,10045474,Infinite Impermanence,1,0
20,80801743,Abominable Chamber of the Unchained,2,0
21,53417695,Escape of the Unchained,1,0
0,24269961,Unchained Soul Lord of Yama,2,1
1,67680512,Unchained Soul of Rage,1,1
2,93084621,Unchained Soul of Anguish,1,1
3,29479265,Unchained Abomination,1,1
4,71791814,Magical Musketeer Max,1,1
5,86066372,Accesscode Talker,1,1
6,29301450,S:P Little Knight,1,1
7,2463794,Fiendsmith's Requiem,1,1
8,49867899,Fiendsmith's Sequence,1,1
9,32991300,Fiendsmith's Agnumday,1,1
10,82135803,Fiendsmith's Desirae,1,1
11,28143384,Aerial Eater,1,1
12,79559912,D/D/D Wave High King Caesar,1,1
13,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
0,84192580,Mulcharmy Purulia,3,2
1,94145021,Droll & Lock Bird,3,2
2,5758500,Soul Release,1,2
3,2263869,Ultimate Slayer,3,2
4,83326048,Dimensional Barrier,2,2
5,31849106,Different Dimension Ground,1,2
6,80532587,Elder Entity N'tss,1,2
7,93125329,Golden Cloud Beast - Malong,1,2
