,id,name,copies,deck_part
0,32061192,Maliss P Dormouse,3,0
1,69272449,Maliss P White Rabbit,3,0
2,96676583,Maliss P Chessy Cat,1,0
3,28803166,Lacrima the Crimson Tears,1,0
4,60764609,Fiendsmith Engraver,3,0
5,97651498,Fabled Lurrie,1,0
6,33854624,Bystial Magnamhut,1,0
7,6637331,Bystial Druiswurm,3,0
8,42141493,Mulcharmy Fuwalos,3,0
9,14558128,Ash Blossom & Joyous Spring,3,0
10,97268402,Effect Veiler,3,0
11,27204311,"Nibiru, the Primal Being",3,0
12,68337209,Maliss in Underground,3,0
13,98567237,Fiendsmith's Tract,1,0
14,25311006,Triple Tactics Talent,1,0
15,75500286,Gold Sarcophagus,1,0
16,73628505,Terraforming,1,0
17,10045474,Infinite Impermanence,3,0
18,99989863,Fiendsmith in Paradise,1,0
19,20726052,Maliss C GWC-06,1,0
20,94722358,Maliss C MTP-07,1,0
21,57111661,Maliss C TB-11,1,0
0,21848500,Maliss Q Hearts Crypter,1,1
1,68059897,Maliss Q Red Ransom,1,1
2,95454996,Maliss Q White Binder,1,1
3,30342076,Link Decoder,1,1
4,86066372,Accesscode Talker,1,1
5,8264361,"Dharc the Dark Charmer, Gloomy",1,1
6,65741786,I:P Masquerena,1,1
7,29301450,S:P Little Knight,1,1
8,9763474,Haggard Lizardose,1,1
9,71818935,Moon of the Closed Heaven,1,1
10,2463794,Fiendsmith's Requiem,1,1
11,49867899,Fiendsmith's Sequence,1,1
12,82135803,Fiendsmith's Desirae,1,1
13,93860227,Necroquip Princess,1,1
14,79559912,D/D/D Wave High King Caesar,1,1
0,34267821,Artifact Lancea,3,2
1,84192580,Mulcharmy Purulia,3,2
2,94145021,Droll & Lock Bird,3,2
3,35269904,Triple Tactics Thrust,3,2
4,24224830,Called by the Grave,1,2
5,164710,Mischief of the Gnomes,1,2
6,12444060,Artifact Sanctum,1,2
