,id,name,copies,deck_part
0,27204311,"Nibiru, the Primal Being",2,0
1,60764609,Fiendsmith Engraver,3,0
2,8633261,Ice Ryzeal,2,0
3,36521307,Mathmech Circular,1,0
4,35844557,Sword Ryzeal,2,0
5,72238166,Node Ryzeal,1,0
6,28803166,Lacrima the Crimson Tears,1,0
7,17946349,Mathmech Diameter,1,0
8,53577438,Mathmech Nabla,1,0
9,34022970,Ext Ryzeal,2,0
10,42141493,Mulcharmy Fuwalos,2,0
11,14558127,Ash Blossom & Joyous Spring,3,0
12,97651498,Fabled Lurrie,1,0
13,94145021,Droll & Lock Bird,2,0
14,97268402,Effect Veiler,2,0
15,25311006,Triple Tactics Talent,1,0
16,85106525,Bonfire,1,0
17,89558743,Small World,2,0
18,98567237,Fiendsmith's Tract,2,0
19,24224830,Called by the Grave,1,0
20,60394026,Ryzeal Plugin,1,0
21,65681983,Crossout Designator,1,0
22,6798031,Ryzeal Cross,1,0
23,10045474,Infinite Impermanence,3,0
24,87804365,Mathmech Superfactorial,1,0
25,99989863,Fiendsmith in Paradise,1,0
0,82135803,Fiendsmith's Desirae,1,1
1,93860227,Necroquip Princess,1,1
2,9940036,Mereologic Aggregator,1,1
3,79559912,D/D/D Wave High King Caesar,1,1
4,34909328,Ryzeal Detonator,1,1
5,7511613,Ryzeal Duo Drive,1,1
6,45852939,Eclipse Twins,1,1
7,85692042,Primathmech Alembertian,1,1
8,88021907,Primathmech Laplacian,1,1
9,46772449,Evilswarm Exciton Knight,1,1
10,32991300,Fiendsmith's Agnumday,1,1
11,29301450,S:P Little Knight,1,1
12,49867899,Fiendsmith's Sequence,1,1
13,71818935,Moon of the Closed Heaven,1,1
14,2463794,Fiendsmith's Requiem,1,1
0,6637331,Bystial Druiswurm,1,2
1,33854624,Bystial Magnamhut,1,2
2,34267821,Artifact Lancea,3,2
3,84192580,Mulcharmy Purulia,2,2
4,18144507,Harpie's Feather Duster,1,2
5,15693423,Evenly Matched,2,2
6,83326048,Dimensional Barrier,2,2
7,58921041,Anti-Spell Fragrance,1,2
8,41420027,Solemn Judgment,2,2
