,id,name,copies,deck_part
0,23288411,Mementoal Tecuhtlica - Combined Creation,1,0
1,54550967,Mementotlan Angwitch,3,0
2,18165869,Mementotlan Dark Blade,1,0
3,81677154,Mementotlan Tatsunootoshigo,3,0
4,55272555,Mementotlan-Horned Dragon,1,0
5,50042011,Mementotlan Shleepy,1,0
6,81945676,Mementotlan Mace,1,0
7,54207171,Mementotlan Akihiron,1,0
8,17943271,Mementotlan Goblin,2,0
9,52918032,Mementotlan Ghattic,1,0
10,60764609,Fiendsmith Engraver,3,0
11,28803166,Lacrima the Crimson Tears,1,0
12,97651498,Fabled Lurrie,1,0
13,42141493,Mulcharmy Fuwalos,3,0
14,33854624,Bystial Magnamhut,1,0
15,6637331,Bystial Druiswurm,1,0
16,14558128,Ash Blossom & Joyous Spring,3,0
17,80722024,Mementotlan Bone Party,3,0
18,66518509,Mementotlan Fusion,2,0
19,43338320,Mementomictlan,1,0
20,24224830,Called by the Grave,1,0
21,98567237,Fiendsmith's Tract,1,0
22,29111045,Goblin Biker Grand Breakout,3,0
23,24299458,Forbidden Droplet,3,0
24,25311006,Triple Tactics Talent,3,0
0,14529511,Mementomictlan Tecuhtlica - Creation King,2,1
1,19181420,Mementotlan Twin Dragon,1,1
2,69601012,Berfomet the Mythical King of Phantom Beasts,1,1
3,28143384,Aerial Eater,1,1
4,93860227,Necroquip Princess,1,1
5,82135803,Fiendsmith's Desirae,1,1
6,32991300,Fiendsmith's Agnumday,1,1
7,49867899,Fiendsmith's Sequence,1,1
8,2463794,Fiendsmith's Requiem,1,1
9,71818935,Moon of the Closed Heaven,1,1
10,12450071,Proxy F Magician,1,1
11,29301450,S:P Little Knight,1,1
12,50277355,Cross-Sheep,1,1
13,79559912,D/D/D Wave High King Caesar,1,1
0,34267821,Artifact Lancea,3,2
1,97940434,Chaos Hunter,3,2
2,87126721,Mulcharmy Meowls,3,2
3,78610936,Xyz Encore,3,2
4,90711610,Goblin Biker Grand Entrance,3,2
