,id,name,copies,deck_part
0,60411677,Anubis the Last Judge,3,0
1,97522863,The Man with the Mark,3,0
2,34926568,Merciless Scorpion of Serket,1,0
3,60764609,Fiendsmith Engraver,3,0
4,28803166,Lacrima the Crimson Tears,1,0
5,97651498,Fabled Lurrie,1,0
6,29762407,Temple of the Kings,1,0
7,69299029,Treasures of the Kings,3,0
8,98567237,Fiendsmith's Tract,2,0
9,14532163,Lightning Storm,2,0
10,18144507,Harpie's Feather Duster,1,0
11,73628505,Terraforming,1,0
12,2263869,Ultimate Slayer,3,0
13,25311006,Triple Tactics Talent,3,0
14,84211599,Pot of Prosperity,1,0
15,23626223,Statue of Anguish Pattern,1,0
16,10045474,Infinite Impermanence,3,0
17,97045737,Dominus Purge,3,0
18,99989863,Fiendsmith in Paradise,1,0
19,85888377,Apophis the Swamp Deity,2,0
20,95561146,Apophis the Serpent,1,0
0,97800311,Divine Serpent Apophis,1,1
1,58071334,Snake-Eyes Doomed Dragon,1,1
2,93860227,Necroquip Princess,1,1
3,82135803,Fiendsmith's Desirae,1,1
4,32991300,Fiendsmith's Agnumday,1,1
5,49867899,Fiendsmith's Sequence,1,1
6,2463794,Fiendsmith's Requiem,1,1
7,71818935,Moon of the Closed Heaven,1,1
8,65741786,I:P Masquerena,1,1
9,29301450,S:P Little Knight,1,1
10,1528054,Silhouhatte Rabbit,1,1
11,9940036,Mereologic Aggregator,1,1
12,79559912,D/D/D Wave High King Caesar,1,1
13,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
14,22850702,Chaos Angel,1,1
0,34267821,Artifact Lancea,3,2
1,14558128,Ash Blossom & Joyous Spring,3,2
2,59494222,Gravekeeper's Inscription,3,2
3,15693423,Evenly Matched,3,2
4,41420027,Solemn Judgment,3,2
