,id,name,copies,deck_part
0,89631139,Blue-Eyes White Dragon,2,0
1,8240199,Sage with Eyes of Blue,3,0
2,17947697,Maiden of White,3,0
3,63198739,Primite Dragon Ether Beryl,3,0
4,97651498,Fabled Lurrie,1,0
5,28803166,Lacrima the Crimson Tears,1,0
6,60764609,Fiendsmith Engraver,3,0
7,42141493,Mulcharmy Fuwalos,3,0
8,14558128,Ash Blossom & Joyous Spring,3,0
9,97268402,Effect Veiler,1,0
10,94145021,Droll & Lock Bird,3,0
11,27204311,"Nibiru, the Primal Being",2,0
12,80326401,Wishes for Eyes of Blue,3,0
13,24382602,Mausoleum of White,1,0
14,17725109,Roar of the Blue-Eyed Dragons,1,0
15,56506740,Primite Lordly Lode,3,0
16,29095457,Primite Drillbeam,2,0
17,98567237,Fiendsmith's Tract,1,0
18,25311006,Triple Tactics Talent,3,0
19,10045474,Infinite Impermanence,3,0
20,97045737,Dominus Purge,2,0
21,99989863,Fiendsmith in Paradise,1,0
22,43219114,Majesty of the White Dragons,1,0
23,62089826,True Light,1,0
0,59822133,Blue-Eyes Spirit Dragon,1,1
1,89604813,Blue-Eyes Ultimate Spirit Dragon,1,1
2,10515412,Lightstorm Dragon,1,1
3,56532353,Neo Blue-Eyes Ultimate Dragon,1,1
4,11443677,Blue-Eyes Tyrant Dragon,1,1
5,90448279,Divine Arsenal AA-ZEUS - Sky Thunder,1,1
6,79559912,D/D/D Wave High King Caesar,1,1
7,24361622,Hieratic Seal of the Heavenly Spheres,1,1
8,42097666,Spirit with Eyes of Blue,1,1
9,9839945,"Lyna the Light Charmer, Lustrous",1,1
10,71818935,Moon of the Closed Heaven,1,1
11,2463794,Fiendsmith's Requiem,1,1
12,49867899,Fiendsmith's Sequence,1,1
13,82135803,Fiendsmith's Desirae,1,1
14,93860227,Necroquip Princess,1,1
0,30576089,Blue-Eyes Jet Dragon,1,2
1,34267821,Artifact Lancea,2,2
2,84192580,Mulcharmy Purulia,3,2
3,18144507,Harpie's Feather Duster,1,2
4,64664373,Metaltronus,3,2
5,35269904,Triple Tactics Thrust,3,2
6,83326048,Dimensional Barrier,1,2
7,12444060,Artifact Sanctum,1,2
