,id,name,copies,deck_part
0,65734501,Rescue-ACE Air Lifter,3,0
1,37617348,Rescue-ACE Hydrant,2,0
2,37495766,Rescue-ACE Turbulence,1,0
3,41443249,Rescue-ACE Preventer,1,0
4,38339996,Rescue-ACE Impulse,3,0
5,90000652,Rescue-ACE Fire Engine,1,0
6,60764609,Fiendsmith Engraver,3,0
7,28803166,Lacrima the Crimson Tears,1,0
8,97651498,Fabled Lurrie,1,0
9,42141493,Mulcharmy Fuwalos,3,0
10,84192580,Mulcharmy Purulia,3,0
11,14558128,Ash Blossom & Joyous Spring,3,0
12,63899465,Rescue-ACE HQ,1,0
13,61292243,EMERGENCY!,3,0
14,26372118,ALERT!,1,0
15,99984170,RESCUE!,1,0
16,98567237,Fiendsmith's Tract,2,0
17,24299458,Forbidden Droplet,3,0
18,25311006,Triple Tactics Talent,1,0
19,32807846,Reinforcement of the Army,1,0
20,24224830,Called by the Grave,1,0
21,2295440,One for One,1,0
22,99989863,Fiendsmith in Paradise,1,0
23,62777823,CONTAIN!,1,0
24,99162522,EXTINGUISH!,1,0
0,94259633,Relinquished Anima,1,1
1,45112597,Worldsea Dragon Zealantis,1,1
2,57134592,Salamangreat Raging Phoenix,1,1
3,87871125,Salamangreat Sunlight Wolf,1,1
4,2857636,Knightmare Phoenix,1,1
5,2772337,"Promethean Princess, Bestower of Flames",1,1
6,48815792,"Hiita the Fire Charmer, Ablaze",1,1
7,29301450,S:P Little Knight,1,1
8,71818935,Moon of the Closed Heaven,1,1
9,2463794,Fiendsmith's Requiem,1,1
10,49867899,Fiendsmith's Sequence,1,1
11,32991300,Fiendsmith's Agnumday,1,1
12,82135803,Fiendsmith's Desirae,1,1
13,93860227,Necroquip Princess,1,1
14,79559912,D/D/D Wave High King Caesar,1,1
0,34267821,Artifact Lancea,3,2
1,87126721,Mulcharmy Meowls,3,2
2,94145021,Droll & Lock Bird,3,2
3,18144507,Harpie's Feather Duster,1,2
4,14532163,Lightning Storm,2,2
5,54693926,Dark Ruler No More,3,2
