,id,name,copies,deck_part
0,25801745,"Lo, the Prayers of the Voiceless Voice",3,0
1,51296484,"Saffira, Dragon Queen of the Voiceless Voice",3,0
2,88284599,"Sauravis, Dragon Sage of the Voiceless Voice",1,0
3,10774240,"Skull Guardian, Protector of the Voiceless Voice",2,0
4,4810828,"Sauravis, the Ancient and Ascended",1,0
5,26866984,Trias Hierarchia,1,0
6,92919429,Diviner of the Herald,3,0
7,60764609,Fiendsmith Engraver,3,0
8,97651498,Fabled Lurrie,1,0
9,14558128,Ash Blossom & Joyous Spring,3,0
10,59438930,Ghost Ogre & Snow Rabbit,1,0
11,97268402,Effect Veiler,2,0
12,94145021,Droll & Lock Bird,3,0
13,13048472,Pre-Preparation of Rites,2,0
14,98477480,Barrier of the Voiceless Voice,3,0
15,39114494,Blessing of the Voiceless Voice,1,0
16,52472775,Prayers of the Voiceless Voice,2,0
17,98567237,Fiendsmith's Tract,1,0
18,84211599,Pot of Prosperity,1,0
19,24224830,Called by the Grave,1,0
20,10045474,Infinite Impermanence,3,0
21,86310763,Radiance of the Voiceless Voice,1,0
0,79606837,Herald of the Arc Light,1,1
1,80696379,Odd-Eyes Meteorburst Dragon,1,1
2,22850702,Chaos Angel,1,1
3,94259633,Relinquished Anima,1,1
4,73898890,Dyna Mondo,1,1
5,9839945,"Lyna the Light Charmer, Lustrous",1,1
6,29301450,S:P Little Knight,1,1
7,71818935,Moon of the Closed Heaven,1,1
8,2463794,Fiendsmith's Requiem,1,1
9,49867899,Fiendsmith's Sequence,1,1
10,82135803,Fiendsmith's Desirae,1,1
11,93860227,Necroquip Princess,1,1
12,80532587,Elder Entity N'tss,1,1
13,79559912,D/D/D Wave High King Caesar,1,1
14,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
0,66425726,Odd-Eyes Pendulumgraph Dragon,1,2
1,27204311,"Nibiru, the Primal Being",3,2
2,59438930,Ghost Ogre & Snow Rabbit,2,2
3,97268402,Effect Veiler,1,2
4,33854624,Bystial Magnamhut,1,2
5,6637331,Bystial Druiswurm,1,2
6,8267140,Cosmic Cyclone,3,2
7,25311006,Triple Tactics Talent,2,2
8,24207889,There Can Be Only One,1,2
