,id,name,copies,deck_part
0,66431519,Sacred Fire King Garunix,3,0
1,23015896,Fire King High Avatar Garunix,1,0
2,44455560,Fire King Courtier Ulcanix,3,0
3,90681088,Legendary Fire King Ponix,3,0
4,2526224,Fire King High Avatar Kirin,3,0
5,18621798,Fire King Avatar Arvata,1,0
6,33854624,Bystial Magnamhut,1,0
7,6637331,Bystial Druiswurm,2,0
8,42141493,Mulcharmy Fuwalos,3,0
9,14558128,Ash Blossom & Joyous Spring,3,0
10,97268402,Effect Veiler,3,0
11,27204311,"Nibiru, the Primal Being",2,0
12,65305978,Fire King Sanctuary,2,0
13,57554544,Fire King Island,1,0
14,91703676,Fire King Sky Burn,2,0
15,49238328,Pot of Extravagance,3,0
16,84211599,Pot of Prosperity,1,0
17,10045474,Infinite Impermanence,3,0
0,94259633,Relinquished Anima,1,1
1,60303245,Salamangreat Almiraj,1,1
2,2772337,"Promethean Princess, Bestower of Flames",3,1
3,48815792,"Hiita the Fire Charmer, Ablaze",2,1
4,9839945,"Lyna the Light Charmer, Lustrous",1,1
5,8264361,"Dharc the Dark Charmer, Gloomy",1,1
6,29301450,S:P Little Knight,1,1
7,93039339,Super Starslayer TY-PHON - Sky Crisis,2,1
8,64182380,"Garunix Eternity, Hyang of the Fire Kings",3,1
0,34267821,Artifact Lancea,3,2
1,97940434,Chaos Hunter,3,2
2,84192580,Mulcharmy Purulia,3,2
3,24224830,Called by the Grave,1,2
4,40366667,Dominus Impulse,3,2
5,41420027,Solemn Judgment,2,2
