,id,name,copies,deck_part
0,18940725,Floowandereeze & Robina,3,0
1,54334420,Floowandereeze & Eglen,3,0
2,17827173,Floowandereeze & Toccan,2,0
3,80611581,Floowandereeze & Empen,2,0
4,80433039,Floowandereeze & Stri,1,0
5,29587993,Mist Valley Apex Avian,1,0
6,69327790,Raiza the Mega Monarch,1,0
7,91800273,Dimension Shifter,3,0
8,55521751,Floowandereeze and the Unexplored Winds,1,0
9,69087397,Floowandereeze and the Advent of Adventure,3,0
10,28126717,Floowandereeze and the Magnificent Map,3,0
11,49238328,Pot of Extravagance,2,0
12,98645731,Pot of Duality,3,0
13,84211599,Pot of Prosperity,1,0
14,54693926,Dark Ruler No More,1,0
15,5993144,Swallow's Cowrie,1,0
16,35269904,Triple Tactics Thrust,2,0
17,25311006,Triple Tactics Talent,1,0
18,73628505,Terraforming,1,0
19,24224830,Called by the Grave,1,0
20,87639778,Harpie's Feather Storm,2,0
21,15693423,Evenly Matched,1,0
22,41215808,Floowandereeze and the Dreaming Town,1,0
0,48608796,Lyrilusc - Assembled Nightingale,1,1
1,8491961,Lyrilusc - Recital Starling,1,1
2,72167543,Downerd Magician,1,1
3,90448279,Divine Arsenal AA-ZEUS - Sky Thunder,2,1
4,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
5,11765832,"Garura, Wings of Resonant Life",1,1
6,80532587,Elder Entity N'tss,1,1
7,94259633,Relinquished Anima,1,1
8,38342335,Knightmare Unicorn,1,1
9,60303245,Salamangreat Almiraj,1,1
10,86066372,Accesscode Talker,1,1
11,48815792,"Hiita the Fire Charmer, Ablaze",1,1
12,98127546,Underworld Goddess of the Closed World,1,1
13,71818935,Moon of the Closed Heaven,1,1
0,14558128,Ash Blossom & Joyous Spring,2,2
1,94145021,Droll & Lock Bird,2,2
2,24508238,D.D. Crow,1,2
3,18964575,Swift Scarecrow,2,2
4,18144507,Harpie's Feather Duster,1,2
5,54693926,Dark Ruler No More,1,2
6,14532163,Lightning Storm,2,2
7,81674782,Dimensional Fissure,2,2
8,83326048,Dimensional Barrier,1,2
9,87639778,Harpie's Feather Storm,1,2
