,id,name,copies,deck_part
0,23288411,Mementoal Tecuhtlica - Combined Creation,1,0
1,54550967,Mementotlan Angwitch,2,0
2,18165869,Mementotlan Dark Blade,2,0
3,81677154,Mementotlan Tatsunootoshigo,3,0
4,17943271,Mementotlan Goblin,2,0
5,81945676,Mementotlan Mace,1,0
6,50042011,Mementotlan Shleepy,1,0
7,54207171,Mementotlan Akihiron,1,0
8,52918032,Mementotlan Ghattic,1,0
9,24079759,Goblin Biker Dugg Charger,2,0
10,53932291,Speedroid Taketomborg,1,0
11,81275020,Speedroid Terrortop,3,0
12,42141493,Mulcharmy Fuwalos,3,0
13,43338320,Mementomictlan,1,0
14,80722024,Mementotlan Bone Party,3,0
15,66518509,Mementotlan Fusion,3,0
16,29111045,Goblin Biker Grand Breakout,1,0
17,90711610,Goblin Biker Grand Entrance,1,0
18,24299458,Forbidden Droplet,3,0
19,25311006,Triple Tactics Talent,1,0
20,84211599,Pot of Prosperity,1,0
21,10045474,Infinite Impermanence,3,0
0,14529511,Mementomictlan Tecuhtlica - Creation King,2,1
1,19181420,Mementotlan Twin Dragon,1,1
2,11321089,Guardian Chimera,1,1
3,34001672,Goblin Biker Big Gabonga,1,1
4,72167543,Downerd Magician,1,1
5,71166481,Number 75: Bamboozling Gossip Shadow,1,1
6,94151981,Xyz Armor Torpedo,1,1
7,65305468,Number F0: Utopic Future,1,1
8,26973555,Number F0: Utopic Draco Future,1,1
9,90448279,Divine Arsenal AA-ZEUS - Sky Thunder,1,1
10,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
11,8728498,"Donner, Dagger Fur Hire",1,1
12,8264361,"Dharc the Dark Charmer, Gloomy",1,1
13,29301450,S:P Little Knight,1,1
0,34267821,Artifact Lancea,3,2
1,97940434,Chaos Hunter,3,2
2,87126721,Mulcharmy Meowls,3,2
3,84192580,Mulcharmy Purulia,3,2
4,94145021,Droll & Lock Bird,3,2
