,id,name,copies,deck_part
0,68304193,Kashtira Unicorn,3,0
1,32909498,Kashtira Fenrir,3,0
2,31149212,Kashtira Riseheart,3,0
3,78534861,Scareclaw Kashtira,1,0
4,91800273,Dimension Shifter,3,0
5,14558128,Ash Blossom & Joyous Spring,3,0
6,97268402,Effect Veiler,3,0
7,59438930,Ghost Ogre & Snow Rabbit,3,0
8,52038441,Ghost Mourner & Moonlit Chill,3,0
9,73628505,Terraforming,1,0
10,84211599,Pot of Prosperity,1,0
11,69540484,Kashtira Birth,3,0
12,34447918,Kashtiratheosis,2,0
13,71832012,Pressured Planet Wraitsoth,3,0
14,35269904,Triple Tactics Thrust,1,0
15,25311006,Triple Tactics Talent,1,0
16,10045474,Infinite Impermanence,3,0
0,73542331,Kashtira Shangri-Ira,1,1
1,80117527,Number 11: Big Eye,1,1
2,78144171,"Dark Armed, the Dragon of Annihilation",1,1
3,44405066,Red-Eyes Flare Metal Dragon,1,1
4,47132793,"Blaze, Supreme Ruler of all Dragons",1,1
5,22110647,Mecha Phantom Beast Dracossack,1,1
6,90448279,Divine Arsenal AA-ZEUS - Sky Thunder,1,1
7,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
8,86066372,Accesscode Talker,1,1
9,65741786,I:P Masquerena,1,1
10,29301450,S:P Little Knight,1,1
11,98978921,Link Spider,2,1
12,61668670,G Golem Crystal Heart,1,1
13,61245672,Decode Talker Heatsoul,1,1
0,42141493,Mulcharmy Fuwalos,3,2
1,84192580,Mulcharmy Purulia,3,2
2,8267140,Cosmic Cyclone,3,2
3,80101899,Trap Trick,1,2
4,83326048,Dimensional Barrier,3,2
5,31849106,Different Dimension Ground,2,2
