,id,name,copies,deck_part
0,15005145,Centur-Ion Primera,3,0
1,42493140,Centur-Ion Trudea,3,0
2,96030710,Centur-Ion Atrii,1,0
3,97698279,Centur-Ion Gargoyle II,1,0
4,84941194,"Imsety, Glory of Horus",2,0
5,47330808,"Hapi, Guidance of Horus",1,0
6,38775407,Sengenjin Wakes from a Millennium,2,0
7,14558128,Ash Blossom & Joyous Spring,3,0
8,94145021,Droll & Lock Bird,2,0
9,73642296,Ghost Belle & Haunted Mansion,2,0
10,33854624,Bystial Magnamhut,1,0
11,6637331,Bystial Druiswurm,1,0
12,32909498,Kashtira Fenrir,3,0
13,41371602,Stand Up Centur-Ion!,3,0
14,77765207,Emblema Oath,3,0
15,4160316,Centur-Ion Bonds,1,0
16,92907248,Wake Up Centur-Ion!,1,0
17,16528181,King's Sarcophagus,1,0
18,25311006,Triple Tactics Talent,2,0
19,24224830,Called by the Grave,1,0
20,10045474,Infinite Impermanence,3,0
21,40155014,Centur-Ion Phalanx,1,0
0,8841431,Centur-Ion Primera Primus,1,1
1,15982593,Centur-Ion Legatia,2,1
2,71858682,Centur-Ion Auxila,1,1
3,22850702,Chaos Angel,1,1
4,63436931,Crimson Dragon,1,1
5,40139997,Ruddy Rose Dragon,1,1
6,21123811,Cosmic Blazar Dragon,2,1
7,80666118,Scarlight Red Dragon Archfiend,1,1
8,29301450,S:P Little Knight,1,1
9,93854893,"Dingirsu, the Orcust of the Evening Star",1,1
10,8165596,Number 90: Galaxy-Eyes Photon Lord,1,1
11,23085002,Number 68: Sanaphond the Sky Prison,1,1
12,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
0,42141493,Mulcharmy Fuwalos,3,2
1,84192580,Mulcharmy Purulia,3,2
2,24508238,D.D. Crow,2,2
3,18144507,Harpie's Feather Duster,1,2
4,8267140,Cosmic Cyclone,2,2
5,1149109,Deck Lockdown,3,2
6,58921041,Anti-Spell Fragrance,1,2
