,id,name,copies,deck_part
0,25538345,The Phantom Knights of Torn Scales,3,0
1,36426778,The Phantom Knights of Silent Boots,3,0
2,90432163,The Phantom Knights of Ancient Cloak,2,0
3,63821877,The Phantom Knights of Ragged Gloves,1,0
4,88544390,The Phantom Knights of Stained Greaves,1,0
5,11335209,"Duamutef, Blessing of Horus",1,0
6,47330808,"Hapi, Guidance of Horus",1,0
7,84941194,"Imsety, Glory of Horus",3,0
8,53932291,Speedroid Taketomborg,1,0
9,81275020,Speedroid Terrortop,3,0
10,97651498,Fabled Lurrie,1,0
11,28803166,Lacrima the Crimson Tears,1,0
12,60764609,Fiendsmith Engraver,3,0
13,42141493,Mulcharmy Fuwalos,3,0
14,27204311,"Nibiru, the Primal Being",3,0
15,33854624,Bystial Magnamhut,1,0
16,6637331,Bystial Druiswurm,2,0
17,16528181,King's Sarcophagus,3,0
18,98567237,Fiendsmith's Tract,2,0
19,24299458,Forbidden Droplet,3,0
20,25311006,Triple Tactics Talent,2,0
21,49299410,The Black Goat Laughs,1,0
22,99989863,Fiendsmith in Paradise,1,0
23,25542642,Phantom Knights' Fog Blade,3,0
0,26692769,The Phantom Knights of Rusty Bardiche,1,1
1,58699500,"Cherubini, Ebon Angel of the Burning Abyss",1,1
2,29301450,S:P Little Knight,1,1
3,71818935,Moon of the Closed Heaven,1,1
4,2463794,Fiendsmith's Requiem,1,1
5,49867899,Fiendsmith's Sequence,1,1
6,32991300,Fiendsmith's Agnumday,1,1
7,82135803,Fiendsmith's Desirae,1,1
8,93860227,Necroquip Princess,1,1
9,64276752,Arc Rebellion Xyz Dragon,1,1
10,28781003,Raider's Knight,1,1
11,62709239,The Phantom Knights of Break Sword,1,1
12,95992081,Leviair the Sea Dragon,1,1
13,79559912,D/D/D Wave High King Caesar,1,1
14,73082255,The Zombie Vampire,1,1
0,34267821,Artifact Lancea,3,2
1,102380,Lava Golem,3,2
2,87126721,Mulcharmy Meowls,3,2
3,78610936,Xyz Encore,3,2
4,40605147,Solemn Strike,3,2
