,id,name,copies,deck_part
0,69811710,"Girsu, the Orcust Mekk-Knight",3,0
1,57835716,Orcust Harp Horror,3,0
2,4055337,Orcust Knightmare,3,0
3,21441617,Orcust Cymbal Skeleton,1,0
4,93920420,"World Legacy - ""World Wand""",1,0
5,71197066,"Gizmek Orochi, the Serpentron Sky Slasher",1,0
6,28985331,Armageddon Knight,2,0
7,84941194,"Imsety, Glory of Horus",3,0
8,47330808,"Hapi, Guidance of Horus",1,0
9,11335209,"Duamutef, Blessing of Horus",1,0
10,42141493,Mulcharmy Fuwalos,3,0
11,14558128,Ash Blossom & Joyous Spring,3,0
12,26845680,Orcustrated Return,1,0
13,90351981,Orcustrated Babel,1,0
14,16528181,King's Sarcophagus,3,0
15,26984177,Walls of the Imperial Tomb,3,0
16,48130397,Super Polymerization,3,0
17,10045474,Infinite Impermanence,3,0
18,40366667,Dominus Impulse,3,0
19,82732705,Skill Drain,1,0
20,703897,Orcust Crescendo,1,0
0,30741503,"Galatea, the Orcust Automaton",2,1
1,98978921,Link Spider,1,1
2,65741786,I:P Masquerena,1,1
3,29301450,S:P Little Knight,1,1
4,8264361,"Dharc the Dark Charmer, Gloomy",1,1
5,5821478,Topologic Bomber Dragon,1,1
6,54757758,Mudragon of the Swamp,1,1
7,11765832,"Garura, Wings of Resonant Life",1,1
8,72578374,Khaos Starsource Dragon,1,1
9,30741334,Coach King Giantrainer,1,1
10,73082255,The Zombie Vampire,1,1
11,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
12,93854893,"Dingirsu, the Orcust of the Evening Star",2,1
0,84192580,Mulcharmy Purulia,3,2
1,60643554,Ghost Sister & Spooky Dogwood,3,2
2,8267140,Cosmic Cyclone,3,2
3,1149109,Deck Lockdown,3,2
4,90846359,Rivalry of Warlords,1,2
5,83266092,Grave of the Super Ancient Organism,2,2
