,id,name,copies,deck_part
0,68304193,Kashtira Unicorn,3,0
1,32909498,Kashtira Fenrir,3,0
2,31149212,Kashtira Riseheart,3,0
3,78534861,Scareclaw Kashtira,1,0
4,91800273,Dimension Shifter,3,0
5,14558128,Ash Blossom & Joyous Spring,3,0
6,97268402,Effect Veiler,3,0
7,59438930,Ghost Ogre & Snow Rabbit,2,0
8,52038441,Ghost Mourner & Moonlit Chill,3,0
9,73628505,Terraforming,1,0
10,69540484,Kashtira Birth,3,0
11,34447918,Kashtiratheosis,2,0
12,71832012,Pressured Planet Wraitsoth,3,0
13,84211599,Pot of Prosperity,1,0
14,24224830,Called by the Grave,1,0
15,90846359,Rivalry of Warlords,1,0
16,82732705,Skill Drain,1,0
17,10045474,Infinite Impermanence,3,0
0,73542331,Kashtira Shangri-Ira,1,1
1,80117527,Number 11: Big Eye,1,1
2,78144171,"Dark Armed, the Dragon of Annihilation",1,1
3,44405066,Red-Eyes Flare Metal Dragon,1,1
4,92015800,Number 76: Harmonizer Gradielle,1,1
5,90590304,Number 41: Bagooska the Terribly Tired Tapir,1,1
6,22110647,Mecha Phantom Beast Dracossack,1,1
7,90448279,Divine Arsenal AA-ZEUS - Sky Thunder,1,1
8,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
9,40139997,Ruddy Rose Dragon,1,1
10,74997493,Saryuja Skull Dread,1,1
11,9763474,Haggard Lizardose,1,1
12,98978921,Link Spider,1,1
13,65741786,I:P Masquerena,1,1
14,29301450,S:P Little Knight,1,1
0,94145021,Droll & Lock Bird,2,2
1,73642296,Ghost Belle & Haunted Mansion,1,2
2,18144507,Harpie's Feather Duster,1,2
3,14532163,Lightning Storm,2,2
4,8267140,Cosmic Cyclone,3,2
5,80101899,Trap Trick,1,2
6,83326048,Dimensional Barrier,3,2
7,31849106,Different Dimension Ground,2,2
