,id,name,copies,deck_part
0,62962630,Aluber the Jester of Despia,1,0
1,68468459,Fallen of Albaz,3,0
2,95515789,"Blazing Cartesia, the Virtuous",3,0
3,45883110,"Guiding Quem, the Virtuous",3,0
4,25451383,Albion the Shrouded Dragon,2,0
5,19096726,Tri-Brigade Mercourier,1,0
6,36577931,Despian Tragedy,1,0
7,33854624,Bystial Magnamhut,1,0
8,72656408,Bystial Baldrake,2,0
9,60242223,Bystial Saronir,3,0
10,6637331,Bystial Druiswurm,3,0
11,32731036,The Bystial Lubellion,3,0
12,32909498,Kashtira Fenrir,3,0
13,68304193,Kashtira Unicorn,3,0
14,1475311,Allure of Darkness,3,0
15,1984618,Nadir Servant,3,0
16,36637374,Branded Opening,3,0
17,29948294,Branded in High Spirits,3,0
18,73628505,Terraforming,1,0
19,44362883,Branded Fusion,1,0
20,6498706,Fusion Deployment,3,0
21,71832012,Pressured Planet Wraitsoth,3,0
22,34447918,Kashtiratheosis,1,0
23,69540484,Kashtira Birth,1,0
24,34090915,Branded Regained,2,0
25,32756828,Branded Beast,1,0
26,17751597,Branded Retribution,1,0
27,19271881,"Brightest, Blazing, Branded King",1,0
28,45675980,Etude of the Branded,1,0
0,44146295,Mirrorjade the Iceblade Dragon,2,1
1,87746184,Albion the Branded Dragon,2,1
2,38811586,Albion the Sanctifire Dragon,1,1
3,51409648,Rindbrumm the Striking Dragon,1,1
4,24915933,Granguignol the Dusk Dragon,2,1
5,41373230,Titaniklad the Ash Dragon,2,1
6,72272462,Despian Quaeritis,1,1
7,70534340,Lubellion the Searing Dragon,1,1
8,96633955,Swordsoul Supreme Sovereign - Chengying,1,1
9,27572350,Bystial Dis Pater,1,1
10,53971455,Despian Luluwalilith,1,1
0,24508238,D.D. Crow,3,2
1,72656408,Bystial Baldrake,1,2
2,55063751,"Gameciel, the Sea Turtle Kaiju",2,2
3,54693926,Dark Ruler No More,3,2
4,18144507,Harpie's Feather Duster,1,2
5,5318639,Mystical Space Typhoon,2,2
6,83326048,Dimensional Barrier,3,2
