,id,name,copies,deck_part
0,25865565,Crystron Sulfador,2,0
1,3422200,Crystron Sulfefnir,3,0
2,83443619,Crystron Smiger,3,0
3,99471856,Crystron Tristaros,2,0
4,29838323,Crystron Thystvern,1,0
5,20050865,Crystron Citree,1,0
6,56049970,Crystron Prasiortle,1,0
7,68304193,Kashtira Unicorn,1,0
8,32909498,Kashtira Fenrir,2,0
9,42141493,Mulcharmy Fuwalos,3,0
10,59438930,Ghost Ogre & Snow Rabbit,1,0
11,14558128,Ash Blossom & Joyous Spring,3,0
12,94145021,Droll & Lock Bird,3,0
13,31552317,Crystron Inclusion,3,0
14,69540484,Kashtira Birth,1,0
15,71832012,Pressured Planet Wraitsoth,1,0
16,24299458,Forbidden Droplet,3,0
17,81439174,Foolish Burial,1,0
18,24224830,Called by the Grave,1,0
19,10045474,Infinite Impermanence,3,0
20,53829527,Crystron Cluster,1,0
0,47736165,Crystron Eleskeletus,2,1
1,13455674,Crystron Quariongandrax,1,1
2,40509732,Samurai Destroyer,1,1
3,66698383,Vermillion Dragon Mech,1,1
4,42110604,Hi-Speedroid Chanbara,1,1
5,33158448,F.A. Dawn Dragster,2,1
6,58069384,Cyber Dragon Nova,1,1
7,10443957,Cyber Dragon Infinity,1,1
8,22110647,Mecha Phantom Beast Dracossack,1,1
9,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
10,58699500,"Cherubini, Ebon Angel of the Burning Abyss",1,1
11,41739381,Clockwork Knight,1,1
12,29301450,S:P Little Knight,1,1
0,87126721,Mulcharmy Meowls,3,2
1,84192580,Mulcharmy Purulia,3,2
2,18144507,Harpie's Feather Duster,1,2
3,14532163,Lightning Storm,2,2
4,40605147,Solemn Strike,3,2
5,31849106,Different Dimension Ground,3,2
