,id,name,copies,deck_part
0,2347656,Lovely Labrynth of the Silver Castle,1,0
1,81497285,Lady Labrynth of the Silver Castle,1,0
2,1225009,Arianna the Labrynth Servant,3,0
3,73602965,Arias the Labrynth Butler,3,0
4,74018812,Labrynth Stovie Torbie,3,0
5,37629703,Labrynth Chandraglier,3,0
6,2511,Labrynth Cooclock,1,0
7,60990740,Absolute King Back Jack,3,0
8,33407125,Labrynth Labyrinth,1,0
9,49238328,Pot of Extravagance,3,0
10,5380979,Welcome Labrynth,2,0
11,92714517,Big Welcome Labrynth,3,0
12,80101899,Trap Trick,3,0
13,30748475,Destructive Daruma Karma Cannon,3,0
14,40366667,Dominus Impulse,3,0
15,83326048,Dimensional Barrier,2,0
16,6351147,Transaction Rollback,2,0
0,22850702,Chaos Angel,3,1
1,93039339,Super Starslayer TY-PHON - Sky Crisis,3,1
2,94259633,Relinquished Anima,3,1
3,71607202,Muckraker From the Underworld,3,1
4,29301450,S:P Little Knight,2,1
5,8264361,"Dharc the Dark Charmer, Gloomy",1,1
0,34267821,Artifact Lancea,3,2
1,42141493,Mulcharmy Fuwalos,3,2
2,84192580,Mulcharmy Purulia,3,2
3,87126721,Mulcharmy Meowls,3,2
4,164710,Mischief of the Gnomes,2,2
5,54974237,Eradicator Epidemic Virus,1,2
