,id,name,copies,deck_part
0,68024506,Magical Musketeer Calamity,1,0
1,31629407,Magical Musketeer Starfire,3,0
2,57624336,Archfiend Eccentrick,1,0
3,60764609,Fiendsmith Engraver,3,0
4,28803166,Lacrima the Crimson Tears,2,0
5,97651498,Fabled Lurrie,1,0
6,41165831,Unchained Soul of Sharvara,1,0
7,42141493,Mulcharmy Fuwalos,3,0
8,14558128,Ash Blossom & Joyous Spring,3,0
9,59438930,Ghost Ogre & Snow Rabbit,2,0
10,97268402,Effect Veiler,3,0
11,52038441,Ghost Mourner & Moonlit Chill,3,0
12,73642296,Ghost Belle & Haunted Mansion,2,0
13,27204311,"Nibiru, the Primal Being",2,0
14,98567237,Fiendsmith's Tract,3,0
15,35552985,Fiendsmith's Sanct,1,0
16,24224830,Called by the Grave,1,0
17,10045474,Infinite Impermanence,3,0
18,80801743,Abominable Chamber of the Unchained,1,0
19,99989863,Fiendsmith in Paradise,1,0
0,71791814,Magical Musketeer Max,1,1
1,24269961,Unchained Soul Lord of Yama,1,1
2,67680512,Unchained Soul of Rage,1,1
3,29301450,S:P Little Knight,1,1
4,98127546,Underworld Goddess of the Closed World,1,1
5,71818935,Moon of the Closed Heaven,1,1
6,2463794,Fiendsmith's Requiem,1,1
7,49867899,Fiendsmith's Sequence,1,1
8,32991300,Fiendsmith's Agnumday,1,1
9,82135803,Fiendsmith's Desirae,2,1
10,28143384,Aerial Eater,1,1
11,93860227,Necroquip Princess,1,1
12,22850702,Chaos Angel,1,1
13,79559912,D/D/D Wave High King Caesar,1,1
0,46502744,"Retaliating ""C""",2,2
1,68304193,Kashtira Unicorn,1,2
2,32909498,Kashtira Fenrir,1,2
3,31149212,Kashtira Riseheart,1,2
4,69540484,Kashtira Birth,1,2
5,71832012,Pressured Planet Wraitsoth,3,2
6,8267140,Cosmic Cyclone,2,2
7,83326048,Dimensional Barrier,3,2
8,90590303,Number 41: Bagooska the Terribly Tired Tapir,1,2
