,id,name,copies,deck_part
0,32061192,Maliss P Dormouse,3,0
1,69272449,Maliss P White Rabbit,3,0
2,96676583,Maliss P Chessy Cat,3,0
3,18789533,Dotscaper,1,0
4,33854624,Bystial Magnamhut,1,0
5,6637331,Bystial Druiswurm,3,0
6,72656408,Bystial Baldrake,3,0
7,91800273,Dimension Shifter,3,0
8,42141493,Mulcharmy Fuwalos,3,0
9,68337209,Maliss in Underground,3,0
10,1475311,Allure of Darkness,3,0
11,64664373,Metaltronus,3,0
12,28958464,"Spell Card ""Monster Reborn""",1,0
13,25311006,Triple Tactics Talent,3,0
14,35269904,Triple Tactics Thrust,1,0
15,75500286,Gold Sarcophagus,1,0
16,20726052,Maliss C GWC-06,1,0
17,94722358,Maliss C MTP-07,1,0
18,57111661,Maliss C TB-11,1,0
0,21848500,Maliss Q Hearts Crypter,1,1
1,68059897,Maliss Q Red Ransom,1,1
2,95454996,Maliss Q White Binder,1,1
3,4731783,"A Bao A Qu, the Lightless Shadow",1,1
4,30342076,Link Decoder,1,1
5,5043010,Firewall Dragon,1,1
6,5821478,Topologic Bomber Dragon,1,1
7,59859086,Splash Mage,1,1
8,86066372,Accesscode Talker,1,1
9,8264361,"Dharc the Dark Charmer, Gloomy",1,1
10,29301450,S:P Little Knight,1,1
11,9763474,Haggard Lizardose,1,1
12,2857636,Knightmare Phoenix,1,1
13,65330383,Knightmare Gryphon,1,1
14,34909328,Ryzeal Detonator,1,1
0,34267821,Artifact Lancea,3,2
1,87126721,Mulcharmy Meowls,3,2
2,94145021,Droll & Lock Bird,2,2
3,60643554,Ghost Sister & Spooky Dogwood,2,2
4,18144507,Harpie's Feather Duster,1,2
5,78610936,Xyz Encore,1,2
6,90846359,Rivalry of Warlords,1,2
7,83326048,Dimensional Barrier,2,2
