,id,name,copies,deck_part
0,27204311,"Nibiru, the Primal Being",3,0
1,32731036,The Bystial Lubellion,3,0
2,6637331,Bystial Druiswurm,1,0
3,33854624,Bystial Magnamhut,1,0
4,72656408,Bystial Baldrake,1,0
5,60764609,Fiendsmith Engraver,3,0
6,28803166,Lacrima the Crimson Tears,1,0
7,42141493,Mulcharmy Fuwalos,3,0
8,96676583,Maliss P Chessy Cat,1,0
9,69272449,Maliss P White Rabbit,1,0
10,32061192,Maliss P Dormouse,3,0
11,14558127,Ash Blossom & Joyous Spring,3,0
12,59438930,Ghost Ogre & Snow Rabbit,2,0
13,97651498,Fabled Lurrie,1,0
14,97268402,Effect Veiler,3,0
15,73628505,Terraforming,1,0
16,75500286,Gold Sarcophagus,1,0
17,98567237,Fiendsmith's Tract,3,0
18,34090915,Branded Regained,1,0
19,68337209,Maliss in Underground,3,0
20,10045474,Infinite Impermanence,3,0
21,20726052,Maliss C GWC-06,1,0
22,94722358,Maliss C MTP-07,1,0
23,99989863,Fiendsmith in Paradise,1,0
0,82135803,Fiendsmith's Desirae,1,1
1,93860227,Necroquip Princess,1,1
2,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
3,4731783,"A Bao A Qu, the Lightless Shadow",1,1
4,21848500,Maliss Q Hearts Crypter,1,1
5,68059897,Maliss Q Red Ransom,1,1
6,95454996,Maliss Q White Binder,1,1
7,8264361,"Dharc the Dark Charmer, Gloomy",1,1
8,29301450,S:P Little Knight,1,1
9,49867899,Fiendsmith's Sequence,1,1
10,71818935,Moon of the Closed Heaven,1,1
11,9763474,Haggard Lizardose,1,1
12,65741786,I:P Masquerena,1,1
13,2463794,Fiendsmith's Requiem,1,1
14,30342076,Link Decoder,1,1
0,34267821,Artifact Lancea,3,2
1,84192580,Mulcharmy Purulia,3,2
2,87126721,Mulcharmy Meowls,2,2
3,18144506,Harpie's Feather Duster,1,2
4,25311006,Triple Tactics Talent,1,2
5,35269904,Triple Tactics Thrust,3,2
6,12444060,Artifact Sanctum,1,2
7,83326048,Dimensional Barrier,1,2
