,id,name,copies,deck_part
0,23288411,Mementoal Tecuhtlica - Combined Creation,1,0
1,54550967,Mementotlan Angwitch,3,0
2,18165869,Mementotlan Dark Blade,3,0
3,81677154,Mementotlan Tatsunootoshigo,3,0
4,17943271,Mementotlan Goblin,2,0
5,81945676,Mementotlan Mace,1,0
6,50042011,Mementotlan Shleepy,1,0
7,54207171,Mementotlan Akihiron,1,0
8,52918032,Mementotlan Ghattic,1,0
9,42141493,Mulcharmy Fuwalos,3,0
10,43338320,Mementomictlan,1,0
11,80722024,Mementotlan Bone Party,3,0
12,66518509,Mementotlan Fusion,3,0
13,29111045,Goblin Biker Grand Breakout,3,0
14,84211599,Pot of Prosperity,1,0
15,2263869,Ultimate Slayer,3,0
16,24299458,Forbidden Droplet,3,0
17,35480699,Book of Eclipse,3,0
18,24224830,Called by the Grave,1,0
0,14529511,Mementomictlan Tecuhtlica - Creation King,2,1
1,19181420,Mementotlan Twin Dragon,1,1
2,11321089,Guardian Chimera,1,1
3,11765832,"Garura, Wings of Resonant Life",1,1
4,5014629,Submersible Carrier Aero Shark,1,1
5,9940036,Mereologic Aggregator,1,1
6,93125329,Golden Cloud Beast - Malong,1,1
7,10019086,Tri-Brigade Arms Bucephalus II,1,1
8,86066372,Accesscode Talker,1,1
9,45819647,"Selene, Queen of the Master Magicians",1,1
10,9839945,"Lyna the Light Charmer, Lustrous",1,1
11,8264361,"Dharc the Dark Charmer, Gloomy",1,1
12,29301450,S:P Little Knight,1,1
13,46935289,Herald of Mirage Lights,1,1
0,34267821,Artifact Lancea,3,2
1,97940434,Chaos Hunter,3,2
2,94145021,Droll & Lock Bird,3,2
3,18144507,Harpie's Feather Duster,1,2
4,14532163,Lightning Storm,1,2
5,35269904,Triple Tactics Thrust,2,2
6,25311006,Triple Tactics Talent,1,2
7,83326048,Dimensional Barrier,1,2
