,id,name,copies,deck_part
0,8124921,Right Leg of the Forbidden One,1,0
1,70903634,Right Arm of the Forbidden One,1,0
2,33396948,Exodia the Forbidden One,1,0
3,7902349,Left Arm of the Forbidden One,1,0
4,44519536,Left Leg of the Forbidden One,1,0
5,33854624,Bystial Magnamhut,1,0
6,54475145,Heart of the Blue-Eyes,3,0
7,38775407,Sengenjin Wakes from a Millennium,3,0
8,74169516,Golem that Guards the Millennium Treasures,3,0
9,1164211,Shield of the Millennium Dynasty,3,0
10,14558127,Ash Blossom & Joyous Spring,3,0
11,91800273,Dimension Shifter,3,0
12,102380,Lava Golem,3,0
13,48130397,Super Polymerization,2,0
14,73628505,Terraforming,1,0
15,68462976,Secret Village of the Spellcasters,1,0
16,63017368,Wedju Temple,3,0
17,48800175,The Melody of Awakening Dragon,2,0
18,73468603,Set Rotation,1,0
19,84211599,Pot of Prosperity,1,0
20,37613663,Millennium Ankh,3,0
21,402416,Obliterate!!! Blaze,1,0
22,23617756,Exxod Fires of Rage,2,0
23,44822037,Angel Statue - Azurune,1,0
0,83257450,The Unstoppable Exodia Incarnate,3,1
1,54757758,Mudragon of the Swamp,1,1
2,11765832,"Garura, Wings of Resonant Life",1,1
3,74586817,PSY-Framelord Omega,1,1
4,60465049,Psychic End Punisher,1,1
5,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
6,71818935,Moon of the Closed Heaven,1,1
7,1528054,Silhouhatte Rabbit,1,1
8,29301450,S:P Little Knight,1,1
9,75452921,Knightmare Cerberus,1,1
10,97661969,"Aussa the Earth Charmer, Immovable",1,1
11,2857636,Knightmare Phoenix,1,1
12,98127546,Underworld Goddess of the Closed World,1,1
0,60643553,Ghost Sister & Spooky Dogwood,3,2
1,78661338,Fantastical Dragon Phantazmay,3,2
2,6637331,Bystial Druiswurm,1,2
3,8267140,Cosmic Cyclone,2,2
4,83326048,Dimensional Barrier,3,2
5,15693423,Evenly Matched,3,2
