,id,name,copies,deck_part
0,15005145,Centur-Ion Primera,3,0
1,42493140,Centur-Ion Trudea,3,0
2,96030710,Centur-Ion Atrii,1,0
3,97698279,Centur-Ion Gargoyle II,1,0
4,60764609,Fiendsmith Engraver,3,0
5,28803166,Lacrima the Crimson Tears,1,0
6,97651498,Fabled Lurrie,1,0
7,13014905,Agnimal Candle,1,0
8,74169516,Golem that Guards the Millennium Treasures,1,0
9,38775407,Sengenjin Wakes from a Millennium,3,0
10,33854624,Bystial Magnamhut,1,0
11,6637331,Bystial Druiswurm,1,0
12,72656408,Bystial Baldrake,1,0
13,42141493,Mulcharmy Fuwalos,3,0
14,84192580,Mulcharmy Purulia,3,0
15,14558128,Ash Blossom & Joyous Spring,3,0
16,97268402,Effect Veiler,3,0
17,59438930,Ghost Ogre & Snow Rabbit,3,0
18,52038441,Ghost Mourner & Moonlit Chill,2,0
19,98396890,Vision Resonator,1,0
20,41371602,Stand Up Centur-Ion!,3,0
21,77765207,Emblema Oath,3,0
22,4160316,Centur-Ion Bonds,1,0
23,92907248,Wake Up Centur-Ion!,1,0
24,63017368,Wedju Temple,1,0
25,85106525,Bonfire,3,0
26,98567237,Fiendsmith's Tract,1,0
27,98173209,Crimson Gaia,1,0
28,88901994,Synchro Rumble,1,0
29,73628505,Terraforming,1,0
30,10045474,Infinite Impermanence,3,0
31,40155014,Centur-Ion Phalanx,1,0
32,77543769,Centur-Ion True Awakening,1,0
0,8841431,Centur-Ion Primera Primus,1,1
1,15982593,Centur-Ion Legatia,1,1
2,71858682,Centur-Ion Auxila,1,1
3,22850702,Chaos Angel,1,1
4,21123811,Cosmic Blazar Dragon,2,1
5,63436931,Crimson Dragon,1,1
6,29301450,S:P Little Knight,1,1
7,71818935,Moon of the Closed Heaven,1,1
8,2463794,Fiendsmith's Requiem,1,1
9,49867899,Fiendsmith's Sequence,1,1
10,32991300,Fiendsmith's Agnumday,1,1
11,82135803,Fiendsmith's Desirae,1,1
12,28143384,Aerial Eater,1,1
13,93860227,Necroquip Princess,1,1
0,46502744,"Retaliating ""C""",3,2
1,94145021,Droll & Lock Bird,3,2
2,24224830,Called by the Grave,1,2
3,8267140,Cosmic Cyclone,3,2
4,1149109,Deck Lockdown,3,2
5,25311006,Triple Tactics Talent,2,2
