,id,name,copies,deck_part
0,89631139,Blue-Eyes White Dragon,2,0
1,27204311,"Nibiru, the Primal Being",2,0
2,63198739,Primite Dragon Ether Beryl,3,0
3,42141493,Mulcharmy Fuwalos,3,0
4,14558127,Ash Blossom & Joyous Spring,3,0
5,59438930,Ghost Ogre & Snow Rabbit,1,0
6,8240199,Sage with Eyes of Blue,3,0
7,17947697,Maiden of White,3,0
8,94145021,Droll & Lock Bird,3,0
9,97268402,Effect Veiler,1,0
10,17725109,Roar of the Blue-Eyed Dragons,1,0
11,25311006,Triple Tactics Talent,1,0
12,80326401,Wishes for Eyes of Blue,3,0
13,24224830,Called by the Grave,1,0
14,29095457,Primite Drillbeam,1,0
15,65681983,Crossout Designator,1,0
16,56506740,Primite Lordly Lode,3,0
17,24382602,Mausoleum of White,1,0
18,10045474,Infinite Impermanence,3,0
19,43219114,Majesty of the White Dragons,1,0
20,62089826,True Light,1,0
0,56532353,Neo Blue-Eyes Ultimate Dragon,1,1
1,11443677,Blue-Eyes Tyrant Dragon,1,1
2,26268488,Stardust Sifr Divine Dragon,1,1
3,89604813,Blue-Eyes Ultimate Spirit Dragon,1,1
4,63436931,Crimson Dragon,1,1
5,22850702,Chaos Angel,1,1
6,10515412,Lightstorm Dragon,1,1
7,59822133,Blue-Eyes Spirit Dragon,2,1
8,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
9,16699558,Indigo-Eyes Silver Dragon,1,1
10,29301450,S:P Little Knight,1,1
11,24361622,Hieratic Seal of the Heavenly Spheres,1,1
12,42097666,Spirit with Eyes of Blue,2,1
0,6637331,Bystial Druiswurm,1,2
1,33854624,Bystial Magnamhut,1,2
2,34267821,Artifact Lancea,3,2
3,14532163,Lightning Storm,2,2
4,18144507,Harpie's Feather Duster,1,2
5,54693926,Dark Ruler No More,3,2
6,82732705,Skill Drain,1,2
7,41420027,Solemn Judgment,3,2
