,id,name,copies,deck_part
0,30576089,Blue-Eyes Jet Dragon,1,0
1,89631139,Blue-Eyes White Dragon,2,0
2,8240199,Sage with Eyes of Blue,2,0
3,17947697,Maiden of White,3,0
4,63198739,Primite Dragon Ether Beryl,3,0
5,49823708,Buster Whelp of the Destruction Swordsman,2,0
6,33854624,Bystial Magnamhut,1,0
7,14558127,Ash Blossom & Joyous Spring,3,0
8,97268402,Effect Veiler,3,0
9,27204311,"Nibiru, the Primal Being",2,0
10,59438930,Ghost Ogre & Snow Rabbit,2,0
11,54332792,Neo Kaiser Sea Horse,1,0
12,78193831,Buster Blader,1,0
13,56506740,Primite Lordly Lode,3,0
14,80326401,Wishes for Eyes of Blue,3,0
15,17725109,Roar of the Blue-Eyed Dragons,1,0
16,24382602,Mausoleum of White,1,0
17,29095457,Primite Drillbeam,1,0
18,25311006,Triple Tactics Talent,1,0
19,62089826,True Light,1,0
20,43219114,Majesty of the White Dragons,1,0
21,33280639,Prologue of the Destruction Swordsman,1,0
22,10045474,Infinite Impermanence,3,0
23,32104431,Destruction Sword Memories,1,0
0,42097666,Spirit with Eyes of Blue,2,1
1,89604813,Blue-Eyes Ultimate Spirit Dragon,1,1
2,11443677,Blue-Eyes Tyrant Dragon,1,1
3,56532353,Neo Blue-Eyes Ultimate Dragon,1,1
4,59822133,Blue-Eyes Spirit Dragon,2,1
5,86240887,"Buster Blader, the Dragon Destroyer Swordsman",1,1
6,11790356,Buster Dragon,1,1
7,10515412,Lightstorm Dragon,1,1
8,33698022,Black Rose Moonlight Dragon,1,1
9,9753964,Hot Red Dragon Archfiend Abyss,1,1
10,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
11,9839945,"Lyna the Light Charmer, Lustrous",1,1
12,24361622,Hieratic Seal of the Heavenly Spheres,1,1
0,34267821,Artifact Lancea,3,2
1,78661338,Fantastical Dragon Phantazmay,2,2
2,6637331,Bystial Druiswurm,1,2
3,25311006,Triple Tactics Talent,1,2
4,14532163,Lightning Storm,2,2
5,24224830,Called by the Grave,1,2
6,41420027,Solemn Judgment,3,2
7,97045737,Dominus Purge,2,2
