,id,name,copies,deck_part
0,23623653,Spiritual Beast Tamer Lara,3,0
1,14513016,Ritual Beast Tamer Elder,3,0
2,49885567,Spiritual Beast Cannahawk,3,0
3,86396750,Spiritual Beast Apelio,1,0
4,88123329,Spiritual Beast Rampengu,3,0
5,65193366,Spiritual Beast Tamer Winda,1,0
6,87118301,Ritual Beast Tamer Lara,1,0
7,40907115,Ritual Beast Tamer Wen,1,0
8,19211362,Nemeses Flag,1,0
9,72090076,Nemeses Corridor,1,0
10,6728559,Archnemeses Protos,1,0
11,59438930,Ghost Ogre & Snow Rabbit,1,0
12,91800273,Dimension Shifter,3,0
13,14558128,Ash Blossom & Joyous Spring,3,0
14,84211599,Pot of Prosperity,1,0
15,22501005,Ritual Beast Inheritance,3,0
16,67723438,Emergency Teleport,3,0
17,10045474,Infinite Impermanence,3,0
18,97045737,Dominus Purge,3,0
19,11556339,Ritual Beast Steeds,1,0
0,69718652,Ritual Beast Ulti-Nochiudrago,2,1
1,48063985,Ritual Beast Ulti-Cannahawk,2,1
2,56655675,Ritual Beast Ulti-Gaiapelio,1,1
3,86274272,Ritual Beast Ulti-Apelio,1,1
4,15291624,Thunder Dragon Colossus,1,1
5,90590304,Number 41: Bagooska the Terribly Tired Tapir,1,1
6,29423048,Infernal Flame Banshee,1,1
7,65741786,I:P Masquerena,1,1
8,29301450,S:P Little Knight,1,1
9,98127546,Underworld Goddess of the Closed World,1,1
10,58811192,Ritual Beast Ulti-Kimunfalcos,1,1
11,96113307,Ritual Beast Ulti-Reirautari,2,1
0,42141493,Mulcharmy Fuwalos,3,2
1,24224830,Called by the Grave,1,2
2,18144507,Harpie's Feather Duster,1,2
3,81674782,Dimensional Fissure,3,2
4,35269904,Triple Tactics Thrust,2,2
5,58921041,Anti-Spell Fragrance,1,2
6,83326048,Dimensional Barrier,3,2
7,12014404,Gagaga Cowboy,1,2
