,id,name,copies,deck_part
0,19899073,Ame no Murakumo no Mitsurugi,2,0
1,55397172,Futsu no Mitama no Mitsurugi,1,0
2,18176525,"Mitsurugi no Mikoto, Saji",2,0
3,82782870,"Mitsurugi no Mikoto, Kusanagi",1,0
4,34022970,Ext Ryzeal,3,0
5,35844557,Sword Ryzeal,1,0
6,8633261,Ice Ryzeal,2,0
7,72238166,Node Ryzeal,1,0
8,95679145,Dogmatika Maximus,1,0
9,42141493,Mulcharmy Fuwalos,3,0
10,81560239,Mitsurugi Ritual,3,0
11,45171524,Mitsurugi Prayers,3,0
12,6798031,Ryzeal Cross,1,0
13,85106525,Bonfire,3,0
14,1984618,Nadir Servant,3,0
15,2263869,Ultimate Slayer,3,0
16,25311006,Triple Tactics Talent,3,0
17,84211599,Pot of Prosperity,1,0
18,10045474,Infinite Impermanence,3,0
0,11398059,King of the Feral Imps,1,1
1,45852939,Eclipse Twins,1,1
2,34909328,Ryzeal Detonator,2,1
3,7511613,Ryzeal Duo Drive,1,1
4,9940036,Mereologic Aggregator,1,1
5,46772449,Evilswarm Exciton Knight,1,1
6,66011101,Number 60: Dugares the Timeless,1,1
7,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
8,21044178,Abyss Dweller,1,1
9,12014404,Gagaga Cowboy,1,1
10,79606837,Herald of the Arc Light,1,1
11,80532587,Elder Entity N'tss,1,1
12,11765832,"Garura, Wings of Resonant Life",1,1
13,26847978,Tri-Brigade Ferrijit the Barren Blossom,1,1
0,34267821,Artifact Lancea,3,2
1,14558128,Ash Blossom & Joyous Spring,3,2
2,60643554,Ghost Sister & Spooky Dogwood,3,2
3,24224830,Called by the Grave,1,2
4,18144507,Harpie's Feather Duster,1,2
5,14532163,Lightning Storm,2,2
6,82732705,Skill Drain,1,2
7,17954937,Mitsurugi Great Purification,1,2
