,id,name,copies,deck_part
0,26889158,Salamangreat Gazelle,3,0
1,11962031,Salamangreat of Fire,3,0
2,94620082,Salamangreat Foxy,2,0
3,52277807,Salamangreat Spinny,2,0
4,74652966,Code of Soul,1,0
5,57357130,Salamangreat Weasel,1,0
6,56003780,Salamangreat Jack Jaguar,1,0
7,67225377,Salamangreat Meer,1,0
8,14558127,Ash Blossom & Joyous Spring,3,0
9,57160136,Cynet Mining,3,0
10,52155219,Salamangreat Circle,3,0
11,1295111,Salamangreat Sanctuary,1,0
12,64178424,Will of the Salamangreat,2,0
13,25311006,Triple Tactics Talent,1,0
14,35269904,Triple Tactics Thrust,1,0
15,24299458,Forbidden Droplet,3,0
16,24224830,Called by the Grave,1,0
17,10045474,Infinite Impermanence,3,0
18,40366667,Dominus Impulse,3,0
19,14934922,Salamangreat Rage,1,0
20,51339637,Salamangreat Roar,1,0
0,14812471,Salamangreat Balelynx,3,1
1,87871125,Salamangreat Sunlight Wolf,3,1
2,48815792,"Hiita the Fire Charmer, Ablaze",1,1
3,2857636,Knightmare Phoenix,1,1
4,2772337,"Promethean Princess, Bestower of Flames",1,1
5,57134592,Salamangreat Raging Phoenix,2,1
6,31313405,Salamangreat Pyro Phoenix,2,1
7,87327776,Salamangreat Miragestallio,1,1
8,74168099,Brotherhood of the Fire Fist - Horse Prince,1,1
0,34267821,Artifact Lancea,2,2
1,42141493,Mulcharmy Fuwalos,3,2
2,87126721,Mulcharmy Meowls,2,2
3,35269904,Triple Tactics Thrust,2,2
4,14532163,Lightning Storm,2,2
5,18144507,Harpie's Feather Duster,1,2
6,83326048,Dimensional Barrier,1,2
7,31849106,Different Dimension Ground,1,2
8,12444060,Artifact Sanctum,1,2
