,id,name,copies,deck_part
0,32061192,Maliss P Dormouse,3,0
1,69272449,Maliss P White Rabbit,3,0
2,96676583,Maliss P Chessy Cat,3,0
3,18789533,Dotscaper,1,0
4,74652966,Code of Soul,1,0
5,91800273,Dimension Shifter,3,0
6,33854624,Bystial Magnamhut,1,0
7,6637331,Bystial Druiswurm,2,0
8,68337209,Maliss in Underground,3,0
9,63166095,Sky Striker Mobilize - Engage!,3,0
10,52340444,Sky Striker Mecha - Hornet Drones,1,0
11,98338152,Sky Striker Mecha - Widow Anchor,1,0
12,1475311,Allure of Darkness,3,0
13,25311006,Triple Tactics Talent,1,0
14,73628505,Terraforming,1,0
15,35480699,Book of Eclipse,3,0
16,75500286,Gold Sarcophagus,1,0
17,10045474,Infinite Impermanence,3,0
18,20726052,Maliss C GWC-06,1,0
19,94722358,Maliss C MTP-07,1,0
20,57111661,Maliss C TB-11,1,0
0,21848500,Maliss Q Hearts Crypter,1,1
1,68059897,Maliss Q Red Ransom,1,1
2,95454996,Maliss Q White Binder,1,1
3,63288573,Sky Striker Ace - Kagari,1,1
4,30342076,Link Decoder,1,1
5,5043010,Firewall Dragon,1,1
6,64211118,Firewall Dragon Darkfluid - Neo Tempest Terahertz,1,1
7,98978921,Link Spider,1,1
8,59859086,Splash Mage,1,1
9,86066372,Accesscode Talker,1,1
10,24842059,Linguriboh,1,1
11,29301450,S:P Little Knight,1,1
12,9763474,Haggard Lizardose,1,1
13,92422871,Cyberse Desavewurm,1,1
14,9940036,Mereologic Aggregator,1,1
0,34267821,Artifact Lancea,3,2
1,2263869,Ultimate Slayer,3,2
2,40366667,Dominus Impulse,3,2
3,35269904,Triple Tactics Thrust,3,2
4,24224830,Called by the Grave,1,2
5,83326048,Dimensional Barrier,1,2
6,31849106,Different Dimension Ground,1,2
