,id,name,copies,deck_part
0,39931513,Tenpai Dragon Paidra,2,0
1,91810826,Tenpai Dragon Chundra,1,0
2,23657016,Tenpai Dragon Genroku,3,0
3,65326118,Tenpai Dragon Fadra,1,0
4,30336082,Sangen Summoning,1,0
5,66730191,Sangen Kaimen,1,0
6,73628505,Terraforming,1,0
7,63166095,Sky Striker Mobilize - Engage!,3,0
8,52340444,Sky Striker Mecha - Hornet Drones,1,0
9,98338152,Sky Striker Mecha - Widow Anchor,2,0
10,99550630,Sky Striker Maneuver - Afterburners!,1,0
11,2263869,Ultimate Slayer,3,0
12,18144507,Harpie's Feather Duster,1,0
13,14532163,Lightning Storm,2,0
14,35480699,Book of Eclipse,3,0
15,64664373,Metaltronus,3,0
16,70368879,Upstart Goblin,3,0
17,35269904,Triple Tactics Thrust,2,0
18,25311006,Triple Tactics Talent,3,0
19,64964750,Sales Ban,1,0
20,67616300,Chicken Game,1,0
21,24224830,Called by the Grave,1,0
0,18969888,Sangenpai Transcendent Dragion,1,1
1,82570174,Sangenpai Bident Dragion,2,1
2,39402797,Trident Dragion,1,1
3,24361622,Hieratic Seal of the Heavenly Spheres,1,1
4,73539069,Striker Dragon,1,1
5,63288573,Sky Striker Ace - Kagari,1,1
6,90673288,Sky Striker Ace - Shizuku,1,1
7,10019086,Tri-Brigade Arms Bucephalus II,1,1
8,2772337,"Promethean Princess, Bestower of Flames",1,1
9,48815792,"Hiita the Fire Charmer, Ablaze",1,1
10,82135803,Fiendsmith's Desirae,1,1
11,11765832,"Garura, Wings of Resonant Life",1,1
12,9940036,Mereologic Aggregator,1,1
13,34909328,Ryzeal Detonator,1,1
0,34267821,Artifact Lancea,3,2
1,97940434,Chaos Hunter,3,2
2,94145021,Droll & Lock Bird,3,2
3,14087893,Book of Moon,3,2
4,40366667,Dominus Impulse,3,2
